time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2018/12/16/17:22:06.469339,103725,1545002526,469070911,imu_link,0,1,30.6277332306,-96.4820785522,47.6366920471,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.475916,103726,1545002526,475739955,imu_link,0,1,30.6277332306,-96.4820785522,47.6368331909,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.485940,103727,1545002526,485723972,imu_link,0,1,30.6277332306,-96.4820785522,47.6374778748,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.495853,103728,1545002526,495683908,imu_link,0,1,30.6277332306,-96.4820785522,47.6381225586,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.505876,103729,1545002526,505709886,imu_link,0,1,30.6277332306,-96.4820785522,47.6382789612,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.516216,103730,1545002526,515954017,imu_link,0,1,30.6277332306,-96.4820785522,47.6384391785,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.525876,103731,1545002526,525712013,imu_link,0,1,30.6277332306,-96.4820785522,47.6378631592,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.536031,103732,1545002526,535857915,imu_link,0,1,30.6277332306,-96.4820785522,47.637298584,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.545894,103733,1545002526,545710086,imu_link,0,1,30.6277351379,-96.4820785522,47.6377334595,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.555896,103734,1545002526,555697917,imu_link,0,1,30.6277351379,-96.4820785522,47.6381759644,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.566069,103735,1545002526,565864086,imu_link,0,1,30.6277351379,-96.4820785522,47.638381958,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.577996,103736,1545002526,575823068,imu_link,0,1,30.6277351379,-96.4820785522,47.6385993958,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.585969,103737,1545002526,585730075,imu_link,0,1,30.6277351379,-96.4820785522,47.6378059387,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.596366,103738,1545002526,595868110,imu_link,0,1,30.6277351379,-96.4820785522,47.6370124817,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.606306,103739,1545002526,606122016,imu_link,0,1,30.6277351379,-96.4820785522,47.638004303,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.615989,103740,1545002526,615720033,imu_link,0,1,30.6277351379,-96.4820785522,47.6389923096,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.625947,103741,1545002526,625749111,imu_link,0,1,30.6277351379,-96.4820785522,47.6397285461,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.635988,103742,1545002526,635757923,imu_link,0,1,30.6277351379,-96.4820785522,47.6404800415,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.645904,103743,1545002526,645724058,imu_link,0,1,30.6277351379,-96.4820785522,47.6330184937,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.655883,103744,1545002526,655678987,imu_link,0,1,30.6277351379,-96.4820785522,47.6259918213,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:22:06.666152,103745,1545002526,665919065,imu_link,0,1,30.6277351379,-96.4820785522,47.6271286011,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
