time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.hEll
2018/12/16/17:22:07.630371,14509,0,0,5,67.3311621125,15.8071201514,0.0
2018/12/16/17:22:07.649666,14510,0,0,5,67.3311621125,15.8071201514,0.0
2018/12/16/17:22:07.670394,14511,0,0,5,67.3311621125,15.8071201514,0.0
2018/12/16/17:22:07.689898,14512,0,0,5,67.3311621125,15.8071201514,0.0
2018/12/16/17:22:07.710320,14513,0,0,5,67.3311621125,15.8071201514,0.0
2018/12/16/17:22:16.750373,14514,0,0,5,22.7830000025,4.57900000001,0.0
2018/12/16/17:22:16.769530,14515,0,0,5,22.7830000025,4.57900000001,0.0
2018/12/16/17:22:16.790303,14516,0,0,5,22.7830000025,4.57900000001,0.0
2018/12/16/17:22:16.810232,14517,0,0,5,22.7830000025,4.57900000001,0.0
2018/12/16/17:22:16.830347,14518,0,0,5,22.7830000025,4.57900000001,0.0
2018/12/16/17:22:16.849493,14519,0,0,5,22.7830000025,4.57900000001,0.0
2018/12/16/17:22:16.870023,14520,0,0,5,22.7830000011,4.579,0.0
2018/12/16/17:22:16.889891,14521,0,0,5,22.7830000011,4.579,0.0
2018/12/16/17:22:16.909635,14522,0,0,5,22.7830000011,4.579,0.0
2018/12/16/17:22:16.929447,14523,0,0,5,22.7830000011,4.579,0.0
2018/12/16/17:22:16.950193,14524,0,0,5,22.7830000011,4.579,0.0
2018/12/16/17:22:16.969933,14525,0,0,5,22.7830000011,4.579,0.0
2018/12/16/17:22:16.989659,14526,0,0,5,22.7830000011,4.579,0.0
2018/12/16/17:22:17.009624,14527,0,0,5,22.7830000011,4.579,0.0
2018/12/16/17:22:17.030511,14528,0,0,5,22.783000019,4.57899999991,0.0
2018/12/16/17:22:17.050075,14529,0,0,5,22.783000019,4.57899999991,0.0
2018/12/16/17:22:17.069565,14530,0,0,5,22.783000019,4.57899999991,0.0
2018/12/16/17:22:17.089978,14531,0,0,5,22.783000019,4.57899999991,0.0
2018/12/16/17:22:17.109938,14532,0,0,5,22.783000019,4.57899999991,0.0
2018/12/16/17:22:17.129889,14533,0,0,5,22.783000019,4.57899999991,0.0
2018/12/16/17:22:17.150675,14534,0,0,5,22.783000019,4.57899999991,0.0
2018/12/16/17:22:17.169505,14535,0,0,5,22.7830004699,4.57899999028,0.0
2018/12/16/17:22:17.190279,14536,0,0,5,22.7830004699,4.57899999028,0.0
2018/12/16/17:22:17.210939,14537,0,0,5,22.7830004699,4.57899999028,0.0
2018/12/16/17:22:17.229419,14538,0,0,5,22.7830004699,4.57899999028,0.0
2018/12/16/17:22:17.250420,14539,0,0,5,22.7830004699,4.57899999028,0.0
2018/12/16/17:22:17.269634,14540,0,0,5,22.7830004699,4.57899999028,0.0
2018/12/16/17:22:17.290637,14541,0,0,5,22.7830004699,4.57899999028,0.0
2018/12/16/17:22:17.310326,14542,0,0,5,22.7837116056,4.57898521122,0.0
2018/12/16/17:22:17.329635,14543,0,0,5,22.7837116056,4.57898521122,0.0
2018/12/16/17:22:17.350208,14544,0,0,5,22.7837116056,4.57898521122,0.0
2018/12/16/17:22:17.369570,14545,0,0,5,22.7837116056,4.57898521122,0.0
2018/12/16/17:22:17.389673,14546,0,0,5,22.7837116056,4.57898521122,0.0
2018/12/16/17:22:17.409679,14547,0,0,5,22.7837116056,4.57898521122,0.0
2018/12/16/17:22:17.429839,14548,0,0,5,22.7837116056,4.57898521122,0.0
2018/12/16/17:22:17.449868,14549,0,0,5,22.7837116056,4.57898521122,0.0
2018/12/16/17:22:17.470693,14550,0,0,5,24.23332935,4.54878243181,0.0
2018/12/16/17:22:17.489498,14551,0,0,5,24.23332935,4.54878243181,0.0
2018/12/16/17:22:17.509498,14552,0,0,5,24.23332935,4.54878243181,0.0
2018/12/16/17:22:17.530529,14553,0,0,5,24.23332935,4.54878243181,0.0
2018/12/16/17:22:17.550281,14554,0,0,5,24.23332935,4.54878243181,0.0
2018/12/16/17:22:17.570180,14555,0,0,5,24.23332935,4.54878243181,0.0
2018/12/16/17:22:17.589962,14556,0,0,5,24.23332935,4.54878243181,0.0
2018/12/16/17:22:17.611661,14557,0,0,5,26.366843078,4.50431052372,0.0
