time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.hEll
2018/12/16/17:23:03.775030,109479,2407,636300000,mti/data,30.6276683807,-96.4820785522,48.973903656
2018/12/16/17:23:03.784964,109480,2407,646300000,mti/data,30.6276683807,-96.4820785522,48.9728355408
2018/12/16/17:23:03.795046,109481,2407,656300000,mti/data,30.6276683807,-96.4820785522,48.9717674255
2018/12/16/17:23:03.804706,109482,2407,666300000,mti/data,30.6276683807,-96.4820785522,48.9713821411
2018/12/16/17:23:03.815928,109483,2407,676300000,mti/data,30.6276702881,-96.4820785522,48.970993042
2018/12/16/17:23:03.824810,109484,2407,686300000,mti/data,30.6276702881,-96.4820785522,48.9698677063
2018/12/16/17:23:03.834886,109485,2407,696300000,mti/data,30.6276702881,-96.4820785522,48.9687309265
2018/12/16/17:23:03.845677,109486,2407,706300000,mti/data,30.6276702881,-96.4820785522,48.9678344727
2018/12/16/17:23:03.855293,109487,2407,716300000,mti/data,30.6276702881,-96.4820785522,48.9669075012
2018/12/16/17:23:03.864765,109488,2407,726300000,mti/data,30.6276721954,-96.4820785522,48.9654693604
2018/12/16/17:23:03.874777,109489,2407,736300000,mti/data,30.6276721954,-96.4820785522,48.9640541077
2018/12/16/17:23:03.885348,109490,2407,746300000,mti/data,30.6276721954,-96.4820785522,48.9626617432
2018/12/16/17:23:03.894802,109491,2407,756300000,mti/data,30.6276721954,-96.4820785522,48.9695320129
2018/12/16/17:23:03.904778,109492,2407,766300000,mti/data,30.6276741028,-96.4820785522,48.9771957397
2018/12/16/17:23:03.914697,109493,2407,776300000,mti/data,30.6276741028,-96.4820785522,48.9765968323
2018/12/16/17:23:03.924765,109494,2407,786300000,mti/data,30.6276741028,-96.4820785522,48.9764709473
2018/12/16/17:23:03.934831,109495,2407,796300000,mti/data,30.6276741028,-96.4820785522,48.976360321
2018/12/16/17:23:03.944830,109496,2407,806300000,mti/data,30.6276741028,-96.4820785522,48.9757881165
2018/12/16/17:23:03.954959,109497,2407,816300000,mti/data,30.6276760101,-96.4820785522,48.9752082825
2018/12/16/17:23:03.964800,109498,2407,826300000,mti/data,30.6276760101,-96.4820785522,48.9746170044
2018/12/16/17:23:03.974815,109499,2407,836300000,mti/data,30.6276760101,-96.4820785522,48.973991394
2018/12/16/17:23:03.984772,109500,2407,846300000,mti/data,30.6276760101,-96.4820785522,48.9730911255
2018/12/16/17:23:03.995322,109501,2407,856300000,mti/data,30.6276760101,-96.4820785522,48.9721755981
2018/12/16/17:23:04.004781,109502,2407,866300000,mti/data,30.6276779175,-96.4820785522,48.9719657898
2018/12/16/17:23:04.014902,109503,2407,876300000,mti/data,30.6276779175,-96.4820785522,48.9717407227
2018/12/16/17:23:04.024813,109504,2407,886300000,mti/data,30.6276779175,-96.4820785522,48.9703140259
2018/12/16/17:23:04.034832,109505,2407,896300000,mti/data,30.6276779175,-96.4820785522,48.9688911438
2018/12/16/17:23:04.044819,109506,2407,906300000,mti/data,30.6276779175,-96.4820785522,48.9679374695
2018/12/16/17:23:04.055024,109507,2407,916300000,mti/data,30.6276798248,-96.4820785522,48.9669532776
2018/12/16/17:23:04.064764,109508,2407,926300000,mti/data,30.6276798248,-96.4820785522,48.9666595459
2018/12/16/17:23:04.074837,109509,2407,936300000,mti/data,30.6276798248,-96.4820785522,48.9663543701
2018/12/16/17:23:04.084738,109510,2407,946300000,mti/data,30.6276798248,-96.4820785522,48.9648132324
2018/12/16/17:23:04.094955,109511,2407,956300000,mti/data,30.6276817322,-96.4820785522,48.9632339478
2018/12/16/17:23:04.104782,109512,2407,966300000,mti/data,30.6276817322,-96.4820785522,48.9618759155
2018/12/16/17:23:04.114931,109513,2407,976300000,mti/data,30.6276817322,-96.4820785522,48.9605293274
2018/12/16/17:23:04.124843,109514,2407,986300000,mti/data,30.6276817322,-96.4820785522,48.9597091675
2018/12/16/17:23:04.135879,109515,2407,996300000,mti/data,30.6276817322,-96.4820785522,48.9589271545
2018/12/16/17:23:04.144829,109516,2408,6300000,mti/data,30.6276836395,-96.4820785522,48.9574317932
2018/12/16/17:23:04.154776,109517,2408,16300000,mti/data,30.6276836395,-96.4820785522,48.9633178711
2018/12/16/17:23:04.164886,109518,2408,26300000,mti/data,30.6276836395,-96.4820785522,48.9688529968
2018/12/16/17:23:04.175862,109519,2408,36300000,mti/data,30.6276836395,-96.4820785522,48.9670066833
2018/12/16/17:23:04.185064,109520,2408,46300000,mti/data,30.6276836395,-96.4820785522,48.9662742615
2018/12/16/17:23:04.194861,109521,2408,56300000,mti/data,30.6276855469,-96.4820785522,48.9655075073
2018/12/16/17:23:04.204744,109522,2408,66300000,mti/data,30.6276855469,-96.4820785522,48.9637641907
2018/12/16/17:23:04.214928,109523,2408,76300000,mti/data,30.6276855469,-96.4820785522,48.9619827271
2018/12/16/17:23:04.224892,109524,2408,86300000,mti/data,30.6276855469,-96.4820785522,48.9604759216
2018/12/16/17:23:04.234897,109525,2408,96300000,mti/data,30.6276874542,-96.4820785522,48.9590301514
2018/12/16/17:23:04.244936,109526,2408,106300000,mti/data,30.6276874542,-96.4820785522,48.9583282471
2018/12/16/17:23:04.255021,109527,2408,116300000,mti/data,30.6276874542,-96.4820785522,48.9576454163
2018/12/16/17:23:04.264728,109528,2408,126300000,mti/data,30.6276874542,-96.4820785522,48.9569969177
2018/12/16/17:23:04.275323,109529,2408,136300000,mti/data,30.6276874542,-96.4820785522,48.9563179016
2018/12/16/17:23:04.284870,109530,2408,146300000,mti/data,30.6276893616,-96.4820785522,48.9548873901
2018/12/16/17:23:04.294993,109531,2408,156300000,mti/data,30.6276893616,-96.4820785522,48.9534683228
2018/12/16/17:23:04.304806,109532,2408,166300000,mti/data,30.6276893616,-96.4820785522,48.9523048401
2018/12/16/17:23:04.314862,109533,2408,176300000,mti/data,30.6276893616,-96.4820785522,48.9511642456
2018/12/16/17:23:04.324831,109534,2408,186300000,mti/data,30.6276893616,-96.4820785522,48.9512672424
2018/12/16/17:23:04.334947,109535,2408,196300000,mti/data,30.6276912689,-96.4820785522,48.9513969421
2018/12/16/17:23:04.344899,109536,2408,206300000,mti/data,30.6276912689,-96.4820785522,48.9508094788
2018/12/16/17:23:04.354922,109537,2408,216300000,mti/data,30.6276912689,-96.4820785522,48.9502449036
2018/12/16/17:23:04.365032,109538,2408,226300000,mti/data,30.6276912689,-96.4820785522,48.9499320984
2018/12/16/17:23:04.376389,109539,2408,236300000,mti/data,30.6276912689,-96.4820785522,48.9496078491
