time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.roll,.pitch,.yaw
2018/12/16/17:23:03.762486,109425,2407,516300000,mti/data,-6.13701820374,0.593649029732,87.5874328613
2018/12/16/17:23:03.762517,109426,2407,526300000,mti/data,-6.13702774048,0.596557974815,87.5975494385
2018/12/16/17:23:03.762533,109427,2407,536300000,mti/data,-6.13496446609,0.599155545235,87.6094207764
2018/12/16/17:23:03.762641,109428,2407,546300000,mti/data,-6.13337945938,0.60421448946,87.6198806763
2018/12/16/17:23:03.762660,109429,2407,556300000,mti/data,-6.13495874405,0.604157030582,87.6303710938
2018/12/16/17:23:03.762674,109430,2407,566300000,mti/data,-6.13983392715,0.605244159698,87.6406555176
2018/12/16/17:23:03.762685,109431,2407,576300000,mti/data,-6.14084291458,0.606204271317,87.6511459351
2018/12/16/17:23:03.762729,109432,2407,586300000,mti/data,-6.14541006088,0.609215915203,87.6609649658
2018/12/16/17:23:03.762741,109433,2407,596300000,mti/data,-6.14492988586,0.61228966713,87.6707077026
2018/12/16/17:23:03.762783,109434,2407,606300000,mti/data,-6.14770030975,0.615303635597,87.6815948486
2018/12/16/17:23:03.762812,109435,2407,616300000,mti/data,-6.14981937408,0.618840694427,87.6927719116
2018/12/16/17:23:03.764878,109436,2407,626300000,mti/data,-6.15051221848,0.61973965168,87.7022399902
2018/12/16/17:23:03.774753,109437,2407,636300000,mti/data,-6.14830207825,0.621664822102,87.7136764526
2018/12/16/17:23:03.784633,109438,2407,646300000,mti/data,-6.14546871185,0.626654088497,87.7235183716
2018/12/16/17:23:03.794575,109439,2407,656300000,mti/data,-6.14592218399,0.632532417774,87.733757019
2018/12/16/17:23:03.804482,109440,2407,666300000,mti/data,-6.14710664749,0.631025791168,87.7455825806
2018/12/16/17:23:03.814710,109441,2407,676300000,mti/data,-6.15176010132,0.632869243622,87.753074646
2018/12/16/17:23:03.824609,109442,2407,686300000,mti/data,-6.14997434616,0.634312331676,87.7642440796
2018/12/16/17:23:03.834880,109443,2407,696300000,mti/data,-6.14914512634,0.643601179123,87.7757644653
2018/12/16/17:23:03.844569,109444,2407,706300000,mti/data,-6.15045833588,0.645012915134,87.7859725952
2018/12/16/17:23:03.854647,109445,2407,716300000,mti/data,-6.14940690994,0.642912507057,87.7975234985
2018/12/16/17:23:03.864705,109446,2407,726300000,mti/data,-6.14593887329,0.648451328278,87.8104553223
2018/12/16/17:23:03.874572,109447,2407,736300000,mti/data,-6.14694356918,0.654456079006,87.8205566406
2018/12/16/17:23:03.885363,109448,2407,746300000,mti/data,-6.14995384216,0.653053820133,87.8292541504
2018/12/16/17:23:03.894576,109449,2407,756300000,mti/data,-6.1481757164,0.654273569584,87.8465423584
2018/12/16/17:23:03.904494,109450,2407,766300000,mti/data,-6.1514210701,0.655961811543,87.854019165
2018/12/16/17:23:03.914594,109451,2407,776300000,mti/data,-6.15168237686,0.657407343388,87.8651885986
2018/12/16/17:23:03.924553,109452,2407,786300000,mti/data,-6.15283107758,0.661843955517,87.8742675781
2018/12/16/17:23:03.934530,109453,2407,796300000,mti/data,-6.15563678741,0.662716507912,87.8825531006
2018/12/16/17:23:03.944530,109454,2407,806300000,mti/data,-6.15858840942,0.66610121727,87.8904953003
2018/12/16/17:23:03.954921,109455,2407,816300000,mti/data,-6.16019582748,0.670483529568,87.8983612061
2018/12/16/17:23:03.964561,109456,2407,826300000,mti/data,-6.16078805923,0.674476921558,87.9045639038
2018/12/16/17:23:03.974998,109457,2407,836300000,mti/data,-6.16659593582,0.672949433327,87.9113922119
2018/12/16/17:23:03.984689,109458,2407,846300000,mti/data,-6.16798305511,0.671820938587,87.9178924561
2018/12/16/17:23:03.994610,109459,2407,856300000,mti/data,-6.17148637772,0.671180307865,87.9235687256
2018/12/16/17:23:04.004715,109460,2407,866300000,mti/data,-6.17792224884,0.673831880093,87.9279785156
2018/12/16/17:23:04.014588,109461,2407,876300000,mti/data,-6.18223714828,0.671461820602,87.9325485229
2018/12/16/17:23:04.024561,109462,2407,886300000,mti/data,-6.1867389679,0.669047951698,87.9356231689
2018/12/16/17:23:04.034563,109463,2407,896300000,mti/data,-6.19110107422,0.671731591225,87.9382324219
2018/12/16/17:23:04.044524,109464,2407,906300000,mti/data,-6.19444847107,0.671858668327,87.9401855469
2018/12/16/17:23:04.054663,109465,2407,916300000,mti/data,-6.19693040848,0.669614136219,87.9417114258
2018/12/16/17:23:04.064824,109466,2407,926300000,mti/data,-6.20057916641,0.666282117367,87.9451446533
2018/12/16/17:23:04.074714,109467,2407,936300000,mti/data,-6.20156908035,0.666366279125,87.947052002
2018/12/16/17:23:04.084521,109468,2407,946300000,mti/data,-6.20123004913,0.662814855576,87.9498672485
2018/12/16/17:23:04.094529,109469,2407,956300000,mti/data,-6.19974756241,0.659221470356,87.9525299072
2018/12/16/17:23:04.104522,109470,2407,966300000,mti/data,-6.19586658478,0.656344056129,87.9540328979
2018/12/16/17:23:04.114834,109471,2407,976300000,mti/data,-6.18866586685,0.652654528618,87.9582061768
2018/12/16/17:23:04.124542,109472,2407,986300000,mti/data,-6.1853017807,0.654643714428,87.9588928223
2018/12/16/17:23:04.134784,109473,2407,996300000,mti/data,-6.17691230774,0.649371087551,87.9603042603
2018/12/16/17:23:04.144607,109474,2408,6300000,mti/data,-6.16969633102,0.651239991188,87.9648513794
2018/12/16/17:23:04.154822,109475,2408,16300000,mti/data,-6.16845703125,0.653436303139,87.9680938721
2018/12/16/17:23:04.164557,109476,2408,26300000,mti/data,-6.17358160019,0.654377758503,87.9686508179
2018/12/16/17:23:04.175485,109477,2408,36300000,mti/data,-6.17685985565,0.652151763439,87.9692611694
2018/12/16/17:23:04.184902,109478,2408,46300000,mti/data,-6.17578887939,0.648368060589,87.9689102173
2018/12/16/17:23:04.194620,109479,2408,56300000,mti/data,-6.17724895477,0.645211279392,87.9678039551
2018/12/16/17:23:04.204913,109480,2408,66300000,mti/data,-6.18376111984,0.639449179173,87.9681015015
2018/12/16/17:23:04.214555,109481,2408,76300000,mti/data,-6.18577671051,0.623603463173,87.9711990356
2018/12/16/17:23:04.224638,109482,2408,86300000,mti/data,-6.18923997879,0.620323061943,87.9745330811
2018/12/16/17:23:04.234626,109483,2408,96300000,mti/data,-6.1901473999,0.622435688972,87.9740905762
2018/12/16/17:23:04.244606,109484,2408,106300000,mti/data,-6.1810503006,0.61854159832,87.9765090942
2018/12/16/17:23:04.254637,109485,2408,116300000,mti/data,-6.17755794525,0.613374173641,87.9801864624
2018/12/16/17:23:04.264515,109486,2408,126300000,mti/data,-6.17872238159,0.609688043594,87.9808502197
2018/12/16/17:23:04.274744,109487,2408,136300000,mti/data,-6.17613792419,0.605319738388,87.9849624634
2018/12/16/17:23:04.284565,109488,2408,146300000,mti/data,-6.1755232811,0.600407242775,87.9872665405
2018/12/16/17:23:04.294705,109489,2408,156300000,mti/data,-6.17829465866,0.590910255909,87.9898529053
2018/12/16/17:23:04.304583,109490,2408,166300000,mti/data,-6.17877340317,0.582729160786,87.9935150146
2018/12/16/17:23:04.314639,109491,2408,176300000,mti/data,-6.18095684052,0.582623660564,88.0010528564
2018/12/16/17:23:04.324617,109492,2408,186300000,mti/data,-6.18168115616,0.577679038048,88.0046463013
2018/12/16/17:23:04.334671,109493,2408,196300000,mti/data,-6.18419265747,0.568909227848,88.0109481812
2018/12/16/17:23:04.344802,109494,2408,206300000,mti/data,-6.18476724625,0.571070551872,88.0174407959
2018/12/16/17:23:04.354669,109495,2408,216300000,mti/data,-6.1839799881,0.565188348293,88.0239105225
2018/12/16/17:23:04.364616,109496,2408,226300000,mti/data,-6.18074989319,0.559486925602,88.0297927856
2018/12/16/17:23:04.376722,109497,2408,236300000,mti/data,-6.17939710617,0.559048771858,88.0375061035
2018/12/16/17:23:04.384615,109498,2408,246300000,mti/data,-6.17781162262,0.558664977551,88.0436630249
2018/12/16/17:23:04.394624,109499,2408,256300000,mti/data,-6.17012119293,0.541895031929,88.0542755127
2018/12/16/17:23:04.404648,109500,2408,266300000,mti/data,-6.16714000702,0.535612046719,88.0599594116
2018/12/16/17:23:04.414665,109501,2408,276300000,mti/data,-6.16434431076,0.532741546631,88.0648727417
2018/12/16/17:23:04.424620,109502,2408,286300000,mti/data,-6.15926742554,0.526832640171,88.0700378418
2018/12/16/17:23:04.434973,109503,2408,296300000,mti/data,-6.15534543991,0.524016797543,88.075012207
2018/12/16/17:23:04.444690,109504,2408,306300000,mti/data,-6.15137624741,0.520407378674,88.0798187256
2018/12/16/17:23:04.454599,109505,2408,316300000,mti/data,-6.14628410339,0.515825867653,88.0836334229
2018/12/16/17:23:04.464585,109506,2408,326300000,mti/data,-6.14355373383,0.516439735889,88.0869979858
2018/12/16/17:23:04.474865,109507,2408,336300000,mti/data,-6.14324855804,0.510726988316,88.0920410156
2018/12/16/17:23:04.484623,109508,2408,346300000,mti/data,-6.14246606827,0.502564966679,88.0946960449
2018/12/16/17:23:04.494742,109509,2408,356300000,mti/data,-6.14377498627,0.49459528923,88.0973434448
2018/12/16/17:23:04.504785,109510,2408,366300000,mti/data,-6.14770698547,0.490200489759,88.1001281738
2018/12/16/17:23:04.514701,109511,2408,376300000,mti/data,-6.15421247482,0.483180820942,88.1019744873
2018/12/16/17:23:04.524705,109512,2408,386300000,mti/data,-6.16056632996,0.477016359568,88.1059417725
2018/12/16/17:23:04.534668,109513,2408,396300000,mti/data,-6.16056537628,0.473330020905,88.1079788208
2018/12/16/17:23:04.544733,109514,2408,406300000,mti/data,-6.16370344162,0.470030725002,88.1097488403
2018/12/16/17:23:04.554827,109515,2408,416300000,mti/data,-6.16665410995,0.465533971786,88.1098861694
2018/12/16/17:23:04.564708,109516,2408,426300000,mti/data,-6.16865348816,0.462104469538,88.1119232178
2018/12/16/17:23:04.574579,109517,2408,436300000,mti/data,-6.17113161087,0.458758473396,88.1121749878
2018/12/16/17:23:04.584648,109518,2408,446300000,mti/data,-6.17372179031,0.458358407021,88.1118469238
2018/12/16/17:23:04.594692,109519,2408,456300000,mti/data,-6.17568540573,0.45636716485,88.1128158569
2018/12/16/17:23:04.604860,109520,2408,466300000,mti/data,-6.17937660217,0.45602414012,88.1121749878
2018/12/16/17:23:04.614771,109521,2408,476300000,mti/data,-6.1829328537,0.454202085733,88.1088867188
2018/12/16/17:23:04.624635,109522,2408,486300000,mti/data,-6.18551015854,0.451593130827,88.1087265015
2018/12/16/17:23:04.634670,109523,2408,496300000,mti/data,-6.18947792053,0.452710747719,88.1080093384
2018/12/16/17:23:04.646317,109524,2408,506300000,mti/data,-6.18505191803,0.448057115078,88.1139602661
2018/12/16/17:23:04.655017,109525,2408,516300000,mti/data,-6.1898150444,0.441791266203,88.113609314
2018/12/16/17:23:04.664648,109526,2408,526300000,mti/data,-6.19150781631,0.442556679249,88.1110687256
2018/12/16/17:23:04.674876,109527,2408,536300000,mti/data,-6.19543647766,0.43901258707,88.1079559326
2018/12/16/17:23:04.684648,109528,2408,546300000,mti/data,-6.19955682755,0.43601423502,88.1063842773
2018/12/16/17:23:04.697230,109529,2408,556300000,mti/data,-6.20284938812,0.432252883911,88.1057815552
2018/12/16/17:23:04.704687,109530,2408,566300000,mti/data,-6.20526981354,0.432613760233,88.1013793945
