time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2018/12/16/17:22:06.841836,1026,1545002525,821489634,gps_link,0,1,30.627744,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:07.841476,1027,1545002526,841179821,gps_link,0,1,30.6277493333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:08.852611,1028,1545002527,840843529,gps_link,0,1,30.6277626667,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:09.876752,1029,1545002528,852018867,gps_link,0,1,30.627784,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:10.881328,1030,1545002529,876160722,gps_link,0,1,30.627808,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:11.893081,1031,1545002530,880707307,gps_link,0,1,30.6278373333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:12.901513,1032,1545002531,892557182,gps_link,0,1,30.6278666667,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:13.912613,1033,1545002532,900771747,gps_link,0,1,30.6279013333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:14.921349,1034,1545002533,912059952,gps_link,0,1,30.6279413333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:15.931705,1035,1545002534,920739756,gps_link,0,1,30.6279786667,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:16.941586,1036,1545002535,931108876,gps_link,0,1,30.6280186667,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:17.951610,1037,1545002536,941006442,gps_link,0,1,30.6280586667,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:18.112355,1038,1545002537,950935481,gps_link,0,1,30.6281013333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:19.972255,1039,1545002538,961629257,gps_link,0,1,30.628144,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:20.133058,1040,1545002539,971316099,gps_link,0,1,30.6281893333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:21.112356,1041,1545002540,981332628,gps_link,0,1,30.6282373333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:22.141622,1042,1545002541,992399557,gps_link,0,1,30.6282853333,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:23.132012,1043,1545002543,11442559,gps_link,0,1,30.6283386667,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:24.111531,1044,1545002544,21017058,gps_link,0,1,30.628392,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:25.141598,1045,1545002545,30945135,gps_link,0,1,30.628448,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:26.131616,1046,1545002546,40781750,gps_link,0,1,30.628504,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:27.112701,1047,1545002547,51156859,gps_link,0,1,30.6285626667,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:28.141352,1048,1545002548,61593342,gps_link,0,1,30.6286213333,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:29.131971,1049,1545002549,71005289,gps_link,0,1,30.6286773333,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:22:30.111834,1050,1545002550,81411812,gps_link,0,1,30.628736,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
