time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.steering_wheel_angle,.steering_wheel_angle_cmd,.steering_wheel_torque,.speed,.enabled,.override,.timeout,.fault_wdc,.fault_bus1,.fault_bus2,.fault_calibration
2018/12/16/17:23:04.002862,54775,1545002583,997594639,,0.045378562063,0.0,-1.0625,4.2805557251,False,False,False,False,False,False,False
2018/12/16/17:23:04.033008,54776,1545002584,17619292,,0.0366519130766,0.0,-1.0625,4.28333330154,False,False,False,False,False,False,False
2018/12/16/17:23:04.038842,54777,1545002584,37648765,,0.0244346093386,0.0,-1.0625,4.28333330154,False,False,False,False,False,False,False
2018/12/16/17:23:04.057944,54778,1545002584,57699941,,0.0174532923847,0.0,-1.0625,4.28333330154,False,False,False,False,False,False,False
2018/12/16/17:23:04.077951,54779,1545002584,77713252,,0.0122173046693,0.0,-1.0,4.28611087799,False,False,False,False,False,False,False
2018/12/16/17:23:04.098004,54780,1545002584,97745954,,0.00872664619237,0.0,-0.9375,4.28888893127,False,False,False,False,False,False,False
2018/12/16/17:23:04.118093,54781,1545002584,117781272,,0.00523598771542,0.0,-0.8125,4.28888893127,False,False,False,False,False,False,False
2018/12/16/17:23:04.138185,54782,1545002584,137848483,,0.00523598771542,0.0,-0.75,4.29166650772,False,False,False,False,False,False,False
2018/12/16/17:23:04.158295,54783,1545002584,157886384,,0.0069813169539,0.0,-0.5,4.294444561,False,False,False,False,False,False,False
2018/12/16/17:23:04.178257,54784,1545002584,177885556,,0.0104719754308,0.0,-0.4375,4.30000019073,False,False,False,False,False,False,False
2018/12/16/17:23:04.198315,54785,1545002584,198011535,,0.0157079640776,0.0,-0.3125,4.30277776718,False,False,False,False,False,False,False
2018/12/16/17:23:04.218302,54786,1545002584,217983585,,0.0209439508617,0.0,-0.1875,4.31111097336,False,False,False,False,False,False,False
2018/12/16/17:23:04.238270,54787,1545002584,238019468,,0.0261799395084,0.0,-0.0625,4.31666660309,False,False,False,False,False,False,False
2018/12/16/17:23:04.258361,54788,1545002584,258030250,,0.0314159281552,0.0,0.125,4.32499980927,False,False,False,False,False,False,False
