time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.steering_wheel_angle,.steering_wheel_angle_cmd,.steering_wheel_torque,.speed,.enabled,.override,.timeout,.fault_wdc,.fault_bus1,.fault_bus2,.fault_calibration
2018/12/16/17:22:06.863335,51923,1545002526,862561684,,-0.164060950279,0.0,-1.0625,1.06111109257,False,False,False,False,False,False,False
2018/12/16/17:22:06.883132,51924,1545002526,882591671,,-0.165806278586,0.0,-1.0625,1.08333337307,False,False,False,False,False,False,False
2018/12/16/17:22:06.902980,51925,1545002526,902624177,,-0.165806278586,0.0,-0.9375,1.1027777195,False,False,False,False,False,False,False
2018/12/16/17:22:06.923647,51926,1545002526,922640674,,-0.164060950279,0.0,-0.75,1.125,False,False,False,False,False,False,False
2018/12/16/17:22:06.943400,51927,1545002526,942700424,,-0.164060950279,0.0,-0.8125,1.1472222805,False,False,False,False,False,False,False
2018/12/16/17:22:06.963419,51928,1545002526,962699814,,-0.164060950279,0.0,-0.8125,1.1694444418,False,False,False,False,False,False,False
2018/12/16/17:22:06.983306,51929,1545002526,982753419,,-0.164060950279,0.0,-0.9375,1.1916667223,False,False,False,False,False,False,False
2018/12/16/17:22:07.003369,51930,1545002527,2786105,,-0.165806278586,0.0,-1.0,1.21388888359,False,False,False,False,False,False,False
2018/12/16/17:22:07.023111,51931,1545002527,22819321,,-0.167551606894,0.0,-1.0625,1.23611116409,False,False,False,False,False,False,False
2018/12/16/17:22:07.043373,51932,1545002527,42858244,,-0.171042263508,0.0,-1.125,1.25833332539,False,False,False,False,False,False,False
2018/12/16/17:22:07.063707,51933,1545002527,62938183,,-0.172787591815,0.0,-1.125,1.27777779102,False,False,False,False,False,False,False
2018/12/16/17:22:07.083666,51934,1545002527,82927262,,-0.179768919945,0.0,-1.1875,1.29999995232,False,False,False,False,False,False,False
2018/12/16/17:22:07.103400,51935,1545002527,102972728,,-0.185004904866,0.0,-1.1875,1.32222223282,False,False,False,False,False,False,False
2018/12/16/17:22:07.123529,51936,1545002527,122975133,,-0.191986218095,0.0,-1.1875,1.34444439411,False,False,False,False,False,False,False
2018/12/16/17:22:07.143535,51937,1545002527,143020329,,-0.198967531323,0.0,-1.25,1.36666667461,False,False,False,False,False,False,False
2018/12/16/17:22:07.163512,51938,1545002527,163069992,,-0.205948844552,0.0,-1.3125,1.39166665077,False,False,False,False,False,False,False
2018/12/16/17:22:07.183574,51939,1545002527,183089596,,-0.214675500989,0.0,-1.375,1.41111111641,False,False,False,False,False,False,False
2018/12/16/17:22:07.203575,51940,1545002527,203115090,,-0.225147470832,0.0,-1.4375,1.4333332777,False,False,False,False,False,False,False
2018/12/16/17:22:07.223618,51941,1545002527,223137860,,-0.237364783883,0.0,-1.4375,1.45277774334,False,False,False,False,False,False,False
2018/12/16/17:22:07.243612,51942,1545002527,243190199,,-0.249582082033,0.0,-1.375,1.4777777195,False,False,False,False,False,False,False
2018/12/16/17:22:07.263658,51943,1545002527,263212082,,-0.25830873847,0.0,-1.375,1.5,False,False,False,False,False,False,False
2018/12/16/17:22:07.283812,51944,1545002527,283246800,,-0.265290051699,0.0,-1.375,1.52499997616,False,False,False,False,False,False,False
2018/12/16/17:22:07.303853,51945,1545002527,303418600,,-0.272271364927,0.0,-1.3125,1.54722225666,False,False,False,False,False,False,False
2018/12/16/17:22:07.323796,51946,1545002527,323436994,,-0.275762021542,0.0,-1.3125,1.56944441795,False,False,False,False,False,False,False
2018/12/16/17:22:07.343736,51947,1545002527,343452641,,-0.279252678156,0.0,-1.3125,1.59166669846,False,False,False,False,False,False,False
2018/12/16/17:22:07.363823,51948,1545002527,363466197,,-0.28274333477,0.0,-1.3125,1.61388885975,False,False,False,False,False,False,False
2018/12/16/17:22:07.383738,51949,1545002527,383430672,,-0.286233991385,0.0,-1.25,1.63611114025,False,False,False,False,False,False,False
2018/12/16/17:22:07.403759,51950,1545002527,403512746,,-0.287979334593,0.0,-1.25,1.65833330154,False,False,False,False,False,False,False
2018/12/16/17:22:07.423916,51951,1545002527,423495763,,-0.289724647999,0.0,-1.1875,1.67777776718,False,False,False,False,False,False,False
2018/12/16/17:22:07.444069,51952,1545002527,443672200,,-0.289724647999,0.0,-1.1875,1.70000004768,False,False,False,False,False,False,False
2018/12/16/17:22:07.463993,51953,1545002527,463675036,,-0.289724647999,0.0,-1.1875,1.72222220898,False,False,False,False,False,False,False
2018/12/16/17:22:07.484006,51954,1545002527,483751517,,-0.289724647999,0.0,-1.0625,1.74444448948,False,False,False,False,False,False,False
2018/12/16/17:22:07.503965,51955,1545002527,503691198,,-0.289724647999,0.0,-1.0625,1.76666665077,False,False,False,False,False,False,False
2018/12/16/17:22:07.524047,51956,1545002527,523680526,,-0.289724647999,0.0,-1.125,1.78611111641,False,False,False,False,False,False,False
2018/12/16/17:22:07.544177,51957,1545002527,543749006,,-0.289724647999,0.0,-1.125,1.8083332777,False,False,False,False,False,False,False
2018/12/16/17:22:07.564323,51958,1545002527,563869266,,-0.289724647999,0.0,-1.1875,1.8305555582,False,False,False,False,False,False,False
2018/12/16/17:22:07.584169,51959,1545002527,583745456,,-0.291469991207,0.0,-1.1875,1.8527777195,False,False,False,False,False,False,False
2018/12/16/17:22:07.604161,51960,1545002527,603919859,,-0.293215304613,0.0,-1.1875,1.875,False,False,False,False,False,False,False
2018/12/16/17:22:07.624422,51961,1545002527,623810705,,-0.294960647821,0.0,-1.1875,1.8972222805,False,False,False,False,False,False,False
2018/12/16/17:22:07.644101,51962,1545002527,643836411,,-0.298451304436,0.0,-1.25,1.9194444418,False,False,False,False,False,False,False
2018/12/16/17:22:07.664284,51963,1545002527,663921159,,-0.30194196105,0.0,-1.1875,1.93888890743,False,False,False,False,False,False,False
2018/12/16/17:22:07.684225,51964,1545002527,683923532,,-0.305432617664,0.0,-1.25,1.9555555582,False,False,False,False,False,False,False
2018/12/16/17:22:07.704176,51965,1545002527,703947044,,-0.310668617487,0.0,-1.1875,1.97500002384,False,False,False,False,False,False,False
2018/12/16/17:22:07.724398,51966,1545002527,723976044,,-0.312413930893,0.0,-1.25,1.98888885975,False,False,False,False,False,False,False
2018/12/16/17:22:07.744354,51967,1545002527,744006210,,-0.315904587507,0.0,-1.25,2.00555562973,False,False,False,False,False,False,False
2018/12/16/17:22:07.764311,51968,1545002527,764028762,,-0.319395244122,0.0,-1.3125,2.01944446564,False,False,False,False,False,False,False
2018/12/16/17:22:07.784388,51969,1545002527,784080072,,-0.32637655735,0.0,-1.25,2.03611111641,False,False,False,False,False,False,False
2018/12/16/17:22:07.804487,51970,1545002527,804103585,,-0.333357900381,0.0,-1.25,2.05277776718,False,False,False,False,False,False,False
2018/12/16/17:22:07.824422,51971,1545002527,824139443,,-0.336848556995,0.0,-1.25,2.06666660309,False,False,False,False,False,False,False
2018/12/16/17:22:07.844471,51972,1545002527,844181801,,-0.342084527016,0.0,-1.3125,2.080555439,False,False,False,False,False,False,False
2018/12/16/17:22:07.864508,51973,1545002527,864216433,,-0.347320526838,0.0,-1.3125,2.09444451332,False,False,False,False,False,False,False
2018/12/16/17:22:07.884545,51974,1545002527,884242428,,-0.352556496859,0.0,-1.25,2.1027777195,False,False,False,False,False,False,False
2018/12/16/17:22:07.904608,51975,1545002527,904303840,,-0.354301840067,0.0,-1.25,2.11388897896,False,False,False,False,False,False,False
2018/12/16/17:22:07.924717,51976,1545002527,924311532,,-0.356047153473,0.0,-1.1875,2.125,False,False,False,False,False,False,False
2018/12/16/17:22:07.944666,51977,1545002527,944375748,,-0.356047153473,0.0,-1.25,2.1333334446,False,False,False,False,False,False,False
2018/12/16/17:22:07.964842,51978,1545002527,964415472,,-0.356047153473,0.0,-1.25,2.14444446564,False,False,False,False,False,False,False
2018/12/16/17:22:07.984701,51979,1545002527,984414128,,-0.356047153473,0.0,-1.1875,2.15555548668,False,False,False,False,False,False,False
2018/12/16/17:22:08.004806,51980,1545002528,4442193,,-0.356047153473,0.0,-1.1875,2.16388893127,False,False,False,False,False,False,False
2018/12/16/17:22:08.024755,51981,1545002528,24497729,,-0.356047153473,0.0,-1.1875,2.17222213745,False,False,False,False,False,False,False
2018/12/16/17:22:08.044810,51982,1545002528,44502883,,-0.356047153473,0.0,-1.125,2.18055558205,False,False,False,False,False,False,False
2018/12/16/17:22:08.064986,51983,1545002528,64554778,,-0.356047153473,0.0,-1.125,2.19166660309,False,False,False,False,False,False,False
2018/12/16/17:22:08.084967,51984,1545002528,84580669,,-0.356047153473,0.0,-1.0,2.19722223282,False,False,False,False,False,False,False
2018/12/16/17:22:08.105103,51985,1545002528,104609960,,-0.356047153473,0.0,-1.0,2.205555439,False,False,False,False,False,False,False
2018/12/16/17:22:08.125227,51986,1545002528,124642219,,-0.356047153473,0.0,-1.0,2.21666669846,False,False,False,False,False,False,False
2018/12/16/17:22:08.145186,51987,1545002528,144673723,,-0.356047153473,0.0,-0.9375,2.22222232819,False,False,False,False,False,False,False
2018/12/16/17:22:08.165251,51988,1545002528,164700504,,-0.356047153473,0.0,-0.9375,2.22499990463,False,False,False,False,False,False,False
2018/12/16/17:22:08.185149,51989,1545002528,184758362,,-0.356047153473,0.0,-0.875,2.23055553436,False,False,False,False,False,False,False
2018/12/16/17:22:08.205156,51990,1545002528,204769711,,-0.354301840067,0.0,-0.875,2.23888897896,False,False,False,False,False,False,False
2018/12/16/17:22:08.225073,51991,1545002528,224808303,,-0.354301840067,0.0,-0.8125,2.2416665554,False,False,False,False,False,False,False
2018/12/16/17:22:08.245373,51992,1545002528,244841827,,-0.354301840067,0.0,-0.75,2.24722218513,False,False,False,False,False,False,False
2018/12/16/17:22:08.265564,51993,1545002528,264932307,,-0.352556496859,0.0,-0.75,2.25277781487,False,False,False,False,False,False,False
2018/12/16/17:22:08.285367,51994,1545002528,284922604,,-0.350811183453,0.0,-0.6875,2.2583334446,False,False,False,False,False,False,False
2018/12/16/17:22:08.305268,51995,1545002528,304948838,,-0.349065840244,0.0,-0.6875,2.26666665077,False,False,False,False,False,False,False
2018/12/16/17:22:08.325291,51996,1545002528,324973389,,-0.347320526838,0.0,-0.625,2.26944446564,False,False,False,False,False,False,False
2018/12/16/17:22:08.345446,51997,1545002528,345025735,,-0.347320526838,0.0,-0.625,2.27500009537,False,False,False,False,False,False,False
2018/12/16/17:22:08.365330,51998,1545002528,365065084,,-0.343829870224,0.0,-0.625,2.27777767181,False,False,False,False,False,False,False
2018/12/16/17:22:08.385605,51999,1545002528,385087443,,-0.342084527016,0.0,-0.5625,2.28055548668,False,False,False,False,False,False,False
2018/12/16/17:22:08.405375,52000,1545002528,405111199,,-0.34033921361,0.0,-0.5625,2.28611111641,False,False,False,False,False,False,False
2018/12/16/17:22:08.425460,52001,1545002528,425166307,,-0.336848556995,0.0,-0.5625,2.294444561,False,False,False,False,False,False,False
2018/12/16/17:22:08.445787,52002,1545002528,445229164,,-0.333357900381,0.0,-0.5625,2.29722213745,False,False,False,False,False,False,False
2018/12/16/17:22:08.465715,52003,1545002528,465228778,,-0.329867213964,0.0,-0.5,2.30277776718,False,False,False,False,False,False,False
2018/12/16/17:22:08.485604,52004,1545002528,485269115,,-0.32637655735,0.0,-0.5,2.30833339691,False,False,False,False,False,False,False
2018/12/16/17:22:08.505684,52005,1545002528,505295002,,-0.322885900736,0.0,-0.5,2.31388878822,False,False,False,False,False,False,False
2018/12/16/17:22:08.525742,52006,1545002528,525311678,,-0.317649930716,0.0,-0.4375,2.31944441795,False,False,False,False,False,False,False
2018/12/16/17:22:08.545681,52007,1545002528,545348674,,-0.312413930893,0.0,-0.4375,2.32500004768,False,False,False,False,False,False,False
2018/12/16/17:22:08.566572,52008,1545002528,565369080,,-0.307177960873,0.0,-0.375,2.33333325386,False,False,False,False,False,False,False
2018/12/16/17:22:08.585902,52009,1545002528,585401167,,-0.30194196105,0.0,-0.5,2.33888888359,False,False,False,False,False,False,False
2018/12/16/17:22:08.605793,52010,1545002528,605470808,,-0.296705961227,0.0,-0.375,2.34444451332,False,False,False,False,False,False,False
2018/12/16/17:22:08.625772,52011,1545002528,625471266,,-0.293215304613,0.0,-0.4375,2.34999990463,False,False,False,False,False,False,False
2018/12/16/17:22:08.645827,52012,1545002528,645520077,,-0.289724647999,0.0,-0.375,2.35833334923,False,False,False,False,False,False,False
2018/12/16/17:22:08.665860,52013,1545002528,665555909,,-0.286233991385,0.0,-0.375,2.36388897896,False,False,False,False,False,False,False
2018/12/16/17:22:08.685989,52014,1545002528,685585348,,-0.280998021364,0.0,-0.375,2.3666665554,False,False,False,False,False,False,False
2018/12/16/17:22:08.706023,52015,1545002528,705627026,,-0.27750736475,0.0,-0.375,2.37222218513,False,False,False,False,False,False,False
2018/12/16/17:22:08.725965,52016,1545002528,725666932,,-0.274016678333,0.0,-0.375,2.38055562973,False,False,False,False,False,False,False
2018/12/16/17:22:08.745950,52017,1545002528,745686136,,-0.270526021719,0.0,-0.375,2.38888883591,False,False,False,False,False,False,False
2018/12/16/17:22:08.766102,52018,1545002528,765714029,,-0.267035365105,0.0,-0.375,2.39166665077,False,False,False,False,False,False,False
2018/12/16/17:22:08.786036,52019,1545002528,785736485,,-0.261799395084,0.0,-0.375,2.39444446564,False,False,False,False,False,False,False
2018/12/16/17:22:08.806217,52020,1545002528,805891330,,-0.256563395262,0.0,-0.3125,2.40277767181,False,False,False,False,False,False,False
2018/12/16/17:22:08.826159,52021,1545002528,825795560,,-0.249582082033,0.0,-0.3125,2.41111111641,False,False,False,False,False,False,False
2018/12/16/17:22:08.846153,52022,1545002528,845841500,,-0.240855440497,0.0,-0.3125,2.419444561,False,False,False,False,False,False,False
2018/12/16/17:22:08.866410,52023,1545002528,865928487,,-0.233874112368,0.0,-0.3125,2.42777776718,False,False,False,False,False,False,False
2018/12/16/17:22:08.886259,52024,1545002528,885925221,,-0.225147470832,0.0,-0.25,2.43333339691,False,False,False,False,False,False,False
2018/12/16/17:22:08.906300,52025,1545002528,905980386,,-0.216420829296,0.0,-0.25,2.44166660309,False,False,False,False,False,False,False
2018/12/16/17:22:08.926378,52026,1545002528,925990500,,-0.20769418776,0.0,-0.25,2.44722223282,False,False,False,False,False,False,False
2018/12/16/17:22:08.946220,52027,1545002528,945991289,,-0.198967531323,0.0,-0.1875,2.45277786255,False,False,False,False,False,False,False
2018/12/16/17:22:08.966334,52028,1545002528,966046883,,-0.188495561481,0.0,-0.1875,2.46388888359,False,False,False,False,False,False,False
2018/12/16/17:22:08.986383,52029,1545002528,986071442,,-0.181514248252,0.0,-0.3125,2.47222232819,False,False,False,False,False,False,False
2018/12/16/17:22:09.006351,52030,1545002529,6115611,,-0.176278248429,0.0,-0.375,2.48333334923,False,False,False,False,False,False,False
2018/12/16/17:22:09.026387,52031,1545002529,26124043,,-0.171042263508,0.0,-0.4375,2.48888897896,False,False,False,False,False,False,False
2018/12/16/17:22:09.046461,52032,1545002529,46175487,,-0.171042263508,0.0,-0.5,2.49722218513,False,False,False,False,False,False,False
2018/12/16/17:22:09.066786,52033,1545002529,66225430,,-0.171042263508,0.0,-0.5,2.50555562973,False,False,False,False,False,False,False
2018/12/16/17:22:09.086514,52034,1545002529,86244932,,-0.171042263508,0.0,-0.625,2.51388883591,False,False,False,False,False,False,False
2018/12/16/17:22:09.106577,52035,1545002529,106277313,,-0.171042263508,0.0,-0.6875,2.5222222805,False,False,False,False,False,False,False
2018/12/16/17:22:09.126597,52036,1545002529,126305806,,-0.171042263508,0.0,-0.75,2.53055548668,False,False,False,False,False,False,False
2018/12/16/17:22:09.146567,52037,1545002529,146339717,,-0.171042263508,0.0,-0.75,2.53888893127,False,False,False,False,False,False,False
2018/12/16/17:22:09.166665,52038,1545002529,166368874,,-0.171042263508,0.0,-0.6875,2.54999995232,False,False,False,False,False,False,False
2018/12/16/17:22:09.186718,52039,1545002529,186392941,,-0.169296935201,0.0,-0.6875,2.55555558205,False,False,False,False,False,False,False
2018/12/16/17:22:09.206728,52040,1545002529,206451835,,-0.169296935201,0.0,-0.8125,2.55833339691,False,False,False,False,False,False,False
2018/12/16/17:22:09.226784,52041,1545002529,226473221,,-0.169296935201,0.0,-0.625,2.56388878822,False,False,False,False,False,False,False
2018/12/16/17:22:09.246952,52042,1545002529,246500371,,-0.169296935201,0.0,-0.5625,2.57500004768,False,False,False,False,False,False,False
2018/12/16/17:22:09.266872,52043,1545002529,266555774,,-0.167551606894,0.0,-0.5,2.58611106873,False,False,False,False,False,False,False
2018/12/16/17:22:09.286855,52044,1545002529,286577693,,-0.165806278586,0.0,-0.375,2.59166669846,False,False,False,False,False,False,False
2018/12/16/17:22:09.306992,52045,1545002529,306603159,,-0.162315621972,0.0,-0.3125,2.59722232819,False,False,False,False,False,False,False
2018/12/16/17:22:09.327051,52046,1545002529,326629493,,-0.158824965358,0.0,-0.3125,2.60555553436,False,False,False,False,False,False,False
2018/12/16/17:22:09.346978,52047,1545002529,346692235,,-0.153588980436,0.0,-0.3125,2.61388897896,False,False,False,False,False,False,False
2018/12/16/17:22:09.367002,52048,1545002529,366724176,,-0.146607652307,0.0,-0.3125,2.61944437027,False,False,False,False,False,False,False
2018/12/16/17:22:09.387004,52049,1545002529,386783216,,-0.141371667385,0.0,-0.25,2.62222218513,False,False,False,False,False,False,False
2018/12/16/17:22:09.407325,52050,1545002529,406794133,,-0.136135682464,0.0,-0.125,2.62777781487,False,False,False,False,False,False,False
2018/12/16/17:22:09.427084,52051,1545002529,426801415,,-0.130899697542,0.0,-0.125,2.63611102104,False,False,False,False,False,False,False
2018/12/16/17:22:09.447304,52052,1545002529,446926096,,-0.123918376863,0.0,-0.0625,2.64444446564,False,False,False,False,False,False,False
2018/12/16/17:22:09.467415,52053,1545002529,466923245,,-0.120427720249,0.0,0.0,2.6472222805,False,False,False,False,False,False,False
2018/12/16/17:22:09.487164,52054,1545002529,486922962,,-0.115191727877,0.0,0.0625,2.65277767181,False,False,False,False,False,False,False
2018/12/16/17:22:09.507224,52055,1545002529,506947864,,-0.111701071262,0.0,0.0,2.65833330154,False,False,False,False,False,False,False
2018/12/16/17:22:09.527228,52056,1545002529,526983915,,-0.108210414648,0.0,0.0,2.66111111641,False,False,False,False,False,False,False
2018/12/16/17:22:09.547282,52057,1545002529,547000614,,-0.102974422276,0.0,-0.0625,2.66666674614,False,False,False,False,False,False,False
2018/12/16/17:22:09.567312,52058,1545002529,567029416,,-0.101229093969,0.0,-0.125,2.669444561,False,False,False,False,False,False,False
2018/12/16/17:22:09.587416,52059,1545002529,587091369,,-0.0994837656617,0.0,-0.1875,2.67499995232,False,False,False,False,False,False,False
2018/12/16/17:22:09.607497,52060,1545002529,607117525,,-0.0994837656617,0.0,-0.25,2.67777776718,False,False,False,False,False,False,False
2018/12/16/17:22:09.627390,52061,1545002529,627133054,,-0.0977384373546,0.0,-0.3125,2.68333339691,False,False,False,False,False,False,False
2018/12/16/17:22:09.647499,52062,1545002529,647195715,,-0.0977384373546,0.0,-0.3125,2.68888878822,False,False,False,False,False,False,False
2018/12/16/17:22:09.667884,52063,1545002529,667213574,,-0.0977384373546,0.0,-0.3125,2.69444441795,False,False,False,False,False,False,False
2018/12/16/17:22:09.687524,52064,1545002529,687244526,,-0.0977384373546,0.0,-0.5,2.70000004768,False,False,False,False,False,False,False
2018/12/16/17:22:09.707654,52065,1545002529,707285357,,-0.0977384373546,0.0,-0.5,2.705555439,False,False,False,False,False,False,False
2018/12/16/17:22:09.727596,52066,1545002529,727312937,,-0.0942477807403,0.0,-0.4375,2.71111106873,False,False,False,False,False,False,False
2018/12/16/17:22:09.747606,52067,1545002529,747348712,,-0.0942477807403,0.0,-0.4375,2.71666669846,False,False,False,False,False,False,False
2018/12/16/17:22:09.767909,52068,1545002529,767379230,,-0.0925024524331,0.0,-0.375,2.72222232819,False,False,False,False,False,False,False
2018/12/16/17:22:09.787724,52069,1545002529,787430124,,-0.090757124126,0.0,-0.375,2.7277777195,False,False,False,False,False,False,False
2018/12/16/17:22:09.807827,52070,1545002529,807457210,,-0.0872664600611,0.0,-0.375,2.73611116409,False,False,False,False,False,False,False
2018/12/16/17:22:09.827748,52071,1545002529,827472870,,-0.0855211317539,0.0,-0.3125,2.7416665554,False,False,False,False,False,False,False
2018/12/16/17:22:09.847800,52072,1545002529,847498954,,-0.0837758034468,0.0,-0.3125,2.74722218513,False,False,False,False,False,False,False
2018/12/16/17:22:09.868028,52073,1545002529,867565759,,-0.0820304751396,0.0,-0.3125,2.75555562973,False,False,False,False,False,False,False
2018/12/16/17:22:09.887807,52074,1545002529,887570440,,-0.0785398185253,0.0,-0.3125,2.76388883591,False,False,False,False,False,False,False
2018/12/16/17:22:09.907892,52075,1545002529,907609275,,-0.0767944902182,0.0,-0.375,2.76666665077,False,False,False,False,False,False,False
2018/12/16/17:22:09.928028,52076,1545002529,927648957,,-0.0733038261533,0.0,-0.375,2.7722222805,False,False,False,False,False,False,False
2018/12/16/17:22:09.947982,52077,1545002529,947679967,,-0.0715584978461,0.0,-0.375,2.77777767181,False,False,False,False,False,False,False
2018/12/16/17:22:09.968018,52078,1545002529,967704241,,-0.0715584978461,0.0,-0.3125,2.78611111641,False,False,False,False,False,False,False
2018/12/16/17:22:09.988117,52079,1545002529,987760261,,-0.069813169539,0.0,-0.3125,2.79166674614,False,False,False,False,False,False,False
2018/12/16/17:22:10.008037,52080,1545002530,7764984,,-0.0663225129247,0.0,-0.3125,2.79722213745,False,False,False,False,False,False,False
2018/12/16/17:22:10.028048,52081,1545002530,27801080,,-0.0663225129247,0.0,-0.3125,2.80277776718,False,False,False,False,False,False,False
2018/12/16/17:22:10.048126,52082,1545002530,47833305,,-0.0663225129247,0.0,-0.3125,2.80833339691,False,False,False,False,False,False,False
2018/12/16/17:22:10.068301,52083,1545002530,67936721,,-0.0645771846175,0.0,-0.375,2.81666660309,False,False,False,False,False,False,False
2018/12/16/17:22:10.088300,52084,1545002530,87925918,,-0.0645771846175,0.0,-0.375,2.82222223282,False,False,False,False,False,False,False
2018/12/16/17:22:10.108277,52085,1545002530,107968970,,-0.0628318563104,0.0,-0.375,2.82777786255,False,False,False,False,False,False,False
2018/12/16/17:22:10.128212,52086,1545002530,127979088,,-0.0610865242779,0.0,-0.375,2.83611106873,False,False,False,False,False,False,False
2018/12/16/17:22:10.148333,52087,1545002530,148021874,,-0.0610865242779,0.0,-0.3125,2.84444451332,False,False,False,False,False,False,False
2018/12/16/17:22:10.168365,52088,1545002530,168070446,,-0.0610865242779,0.0,-0.3125,2.8527777195,False,False,False,False,False,False,False
2018/12/16/17:22:10.188387,52089,1545002530,188078697,,-0.0610865242779,0.0,-0.3125,2.86388897896,False,False,False,False,False,False,False
2018/12/16/17:22:10.208368,52090,1545002530,208109477,,-0.0610865242779,0.0,-0.3125,2.87222218513,False,False,False,False,False,False,False
2018/12/16/17:22:10.228581,52091,1545002530,228130965,,-0.0610865242779,0.0,-0.3125,2.87777781487,False,False,False,False,False,False,False
2018/12/16/17:22:10.248628,52092,1545002530,248194505,,-0.0610865242779,0.0,-0.25,2.88611102104,False,False,False,False,False,False,False
2018/12/16/17:22:10.268471,52093,1545002530,268218651,,-0.0610865242779,0.0,-0.25,2.89444446564,False,False,False,False,False,False,False
2018/12/16/17:22:10.288895,52094,1545002530,288259213,,-0.0610865242779,0.0,-0.1875,2.90277767181,False,False,False,False,False,False,False
2018/12/16/17:22:10.308547,52095,1545002530,308275046,,-0.0593411959708,0.0,-0.125,2.90555548668,False,False,False,False,False,False,False
2018/12/16/17:22:10.328745,52096,1545002530,328309621,,-0.0593411959708,0.0,-0.1875,2.91111111641,False,False,False,False,False,False,False
2018/12/16/17:22:10.348650,52097,1545002530,348341587,,-0.0558505356312,0.0,-0.1875,2.91666674614,False,False,False,False,False,False,False
2018/12/16/17:22:10.368659,52098,1545002530,368394373,,-0.054105207324,0.0,-0.25,2.92222213745,False,False,False,False,False,False,False
2018/12/16/17:22:10.388742,52099,1545002530,388416693,,-0.0506145469844,0.0,-0.25,2.93055558205,False,False,False,False,False,False,False
2018/12/16/17:22:10.408690,52100,1545002530,408441487,,-0.0488692186773,0.0,-0.25,2.93888878822,False,False,False,False,False,False,False
2018/12/16/17:22:10.428792,52101,1545002530,428470456,,-0.0436332300305,0.0,-0.25,2.94444441795,False,False,False,False,False,False,False
2018/12/16/17:22:10.448990,52102,1545002530,448752882,,-0.0401425734162,0.0,-0.25,2.95277786255,False,False,False,False,False,False,False
2018/12/16/17:22:10.469038,52103,1545002530,468784634,,-0.0366519130766,0.0,-0.125,2.95833325386,False,False,False,False,False,False,False
2018/12/16/17:22:10.489116,52104,1545002530,488807304,,-0.0331612564623,0.0,-0.125,2.96388888359,False,False,False,False,False,False,False
2018/12/16/17:22:10.509093,52105,1545002530,508852848,,-0.0296705979854,0.0,-0.375,2.98055553436,False,False,False,False,False,False,False
2018/12/16/17:22:10.529203,52106,1545002530,528922538,,-0.0279252678156,0.0,-0.4375,2.98888897896,False,False,False,False,False,False,False
2018/12/16/17:22:10.549216,52107,1545002530,548922642,,-0.0261799395084,0.0,-0.625,2.9916665554,False,False,False,False,False,False,False
2018/12/16/17:22:10.569213,52108,1545002530,568922479,,-0.0279252678156,0.0,-0.75,3.00277781487,False,False,False,False,False,False,False
2018/12/16/17:22:10.589205,52109,1545002530,588973464,,-0.0296705979854,0.0,-0.875,3.01111102104,False,False,False,False,False,False,False
2018/12/16/17:22:10.609218,52110,1545002530,609004757,,-0.0349065847695,0.0,-0.9375,3.01944446564,False,False,False,False,False,False,False
2018/12/16/17:22:10.629385,52111,1545002530,629053198,,-0.0401425734162,0.0,-1.0,3.02777767181,False,False,False,False,False,False,False
