time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.steering_wheel_angle,.steering_wheel_angle_cmd,.steering_wheel_torque,.speed,.enabled,.override,.timeout,.fault_wdc,.fault_bus1,.fault_bus2,.fault_calibration
2018/12/16/17:22:06.582608,51909,1545002526,582091823,,-0.122173048556,0.0,-1.0,0.772222220898,False,False,False,False,False,False,False
2018/12/16/17:22:06.604028,51910,1545002526,602112200,,-0.125663712621,0.0,-1.0625,0.78888887167,False,False,False,False,False,False,False
2018/12/16/17:22:06.622690,51911,1545002526,622406577,,-0.129154369235,0.0,-1.0625,0.811111092567,False,False,False,False,False,False,False
2018/12/16/17:22:06.642510,51912,1545002526,642181864,,-0.132645025849,0.0,-1.125,0.833333313465,False,False,False,False,False,False,False
2018/12/16/17:22:06.662545,51913,1545002526,662224688,,-0.136135682464,0.0,-1.125,0.852777779102,False,False,False,False,False,False,False
2018/12/16/17:22:06.682618,51914,1545002526,682261748,,-0.139626339078,0.0,-1.1875,0.87222224474,False,False,False,False,False,False,False
2018/12/16/17:22:06.702597,51915,1545002526,702277928,,-0.144862323999,0.0,-1.125,0.891666650772,False,False,False,False,False,False,False
2018/12/16/17:22:06.722623,51916,1545002526,722312503,,-0.148352980614,0.0,-1.1875,0.911111116409,False,False,False,False,False,False,False
2018/12/16/17:22:06.742623,51917,1545002526,742340209,,-0.151843652129,0.0,-1.1875,0.930555582047,False,False,False,False,False,False,False
2018/12/16/17:22:06.762685,51918,1545002526,762394377,,-0.155334308743,0.0,-1.125,0.949999988079,False,False,False,False,False,False,False
2018/12/16/17:22:06.782711,51919,1545002526,782428824,,-0.158824965358,0.0,-1.125,0.969444453716,False,False,False,False,False,False,False
2018/12/16/17:22:06.802917,51920,1545002526,802442335,,-0.162315621972,0.0,-1.125,0.991666674614,False,False,False,False,False,False,False
2018/12/16/17:22:06.822942,51921,1545002526,822483871,,-0.164060950279,0.0,-1.0625,1.01666665077,False,False,False,False,False,False,False
2018/12/16/17:22:06.843018,51922,1545002526,842508790,,-0.164060950279,0.0,-1.125,1.03888893127,False,False,False,False,False,False,False
