time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.hEll
2018/12/16/17:22:06.358260,103737,2350,216300000,mti/data,30.6277332306,-96.4820785522,47.6495056152
2018/12/16/17:22:06.366161,103738,2350,226300000,mti/data,30.6277332306,-96.4820785522,47.6496810913
2018/12/16/17:22:06.375529,103739,2350,236300000,mti/data,30.6277332306,-96.4820785522,47.6498641968
2018/12/16/17:22:06.385797,103740,2350,246300000,mti/data,30.6277332306,-96.4820785522,47.6490097046
2018/12/16/17:22:06.397353,103741,2350,256300000,mti/data,30.6277332306,-96.4820785522,47.6407966614
2018/12/16/17:22:06.405723,103742,2350,266300000,mti/data,30.6277332306,-96.4820785522,47.6335601807
2018/12/16/17:22:06.416384,103743,2350,276300000,mti/data,30.6277332306,-96.4820785522,47.6336479187
2018/12/16/17:22:06.425594,103744,2350,286300000,mti/data,30.6277332306,-96.4820785522,47.6344642639
2018/12/16/17:22:06.435769,103745,2350,296300000,mti/data,30.6277332306,-96.4820785522,47.6353111267
2018/12/16/17:22:06.445741,103746,2350,306300000,mti/data,30.6277332306,-96.4820785522,47.6359291077
2018/12/16/17:22:06.455793,103747,2350,316300000,mti/data,30.6277332306,-96.4820785522,47.6365509033
2018/12/16/17:22:06.466747,103748,2350,326300000,mti/data,30.6277332306,-96.4820785522,47.6366920471
2018/12/16/17:22:06.475693,103749,2350,336300000,mti/data,30.6277332306,-96.4820785522,47.6368331909
2018/12/16/17:22:06.485573,103750,2350,346300000,mti/data,30.6277332306,-96.4820785522,47.6374778748
2018/12/16/17:22:06.495674,103751,2350,356300000,mti/data,30.6277332306,-96.4820785522,47.6381225586
2018/12/16/17:22:06.505682,103752,2350,366300000,mti/data,30.6277332306,-96.4820785522,47.6382789612
2018/12/16/17:22:06.515728,103753,2350,376300000,mti/data,30.6277332306,-96.4820785522,47.6384391785
2018/12/16/17:22:06.525656,103754,2350,386300000,mti/data,30.6277332306,-96.4820785522,47.6378631592
2018/12/16/17:22:06.535711,103755,2350,396300000,mti/data,30.6277332306,-96.4820785522,47.637298584
2018/12/16/17:22:06.545650,103756,2350,406300000,mti/data,30.6277351379,-96.4820785522,47.6377334595
2018/12/16/17:22:06.555734,103757,2350,416300000,mti/data,30.6277351379,-96.4820785522,47.6381759644
2018/12/16/17:22:06.565867,103758,2350,426300000,mti/data,30.6277351379,-96.4820785522,47.638381958
2018/12/16/17:22:06.577880,103759,2350,436300000,mti/data,30.6277351379,-96.4820785522,47.6385993958
2018/12/16/17:22:06.585824,103760,2350,446300000,mti/data,30.6277351379,-96.4820785522,47.6378059387
