time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2018/12/16/17:23:03.760955,54855,1545002583,623030662,,-55,-47,-67,-49
2018/12/16/17:23:03.762185,54856,1545002583,643032359,,-55,-47,-67,-49
2018/12/16/17:23:03.762516,54857,1545002583,663029787,,-55,-47,-67,-49
2018/12/16/17:23:03.762641,54858,1545002583,683009594,,-55,-47,-67,-49
2018/12/16/17:23:03.762677,54859,1545002583,704590300,,-55,-47,-67,-49
2018/12/16/17:23:03.762703,54860,1545002583,723028557,,-55,-47,-67,-49
2018/12/16/17:23:03.762792,54861,1545002583,745252158,,-55,-47,-67,-49
2018/12/16/17:23:03.764773,54862,1545002583,764610491,,-55,-47,-67,-49
2018/12/16/17:23:03.783425,54863,1545002583,783234476,,-55,-45,-67,-49
2018/12/16/17:23:03.806102,54864,1545002583,804582043,,-55,-45,-67,-49
2018/12/16/17:23:03.823180,54865,1545002583,822979700,,-55,-45,-67,-49
2018/12/16/17:23:03.843566,54866,1545002583,843398422,,-55,-45,-65,-49
2018/12/16/17:23:03.863194,54867,1545002583,863008377,,-55,-45,-65,-49
2018/12/16/17:23:03.884742,54868,1545002583,884596503,,-55,-45,-65,-49
2018/12/16/17:23:03.903141,54869,1545002583,902984085,,-55,-45,-65,-49
2018/12/16/17:23:03.923112,54870,1545002583,922976033,,-55,-45,-65,-49
2018/12/16/17:23:03.943332,54871,1545002583,943202444,,-55,-45,-65,-49
2018/12/16/17:23:03.963154,54872,1545002583,962975348,,-55,-45,-67,-49
2018/12/16/17:23:03.983162,54873,1545002583,982975856,,-55,-45,-67,-49
2018/12/16/17:23:04.005233,54874,1545002584,2977596,,-55,-45,-67,-49
2018/12/16/17:23:04.033167,54875,1545002584,23010590,,-55,-45,-65,-49
2018/12/16/17:23:04.043183,54876,1545002584,42978566,,-55,-45,-67,-49
2018/12/16/17:23:04.063203,54877,1545002584,63006369,,-55,-45,-67,-49
2018/12/16/17:23:04.085104,54878,1545002584,84883499,,-55,-45,-67,-49
2018/12/16/17:23:04.103144,54879,1545002584,103000378,,-55,-43,-67,-49
2018/12/16/17:23:04.123172,54880,1545002584,123024105,,-55,-43,-67,-49
2018/12/16/17:23:04.143178,54881,1545002584,143013979,,-55,-43,-69,-49
2018/12/16/17:23:04.163228,54882,1545002584,163030574,,-55,-43,-71,-51
2018/12/16/17:23:04.183274,54883,1545002584,183096101,,-55,-43,-71,-53
2018/12/16/17:23:04.203286,54884,1545002584,203139020,,-55,-45,-67,-55
2018/12/16/17:23:04.223186,54885,1545002584,223016044,,-55,-45,-65,-53
2018/12/16/17:23:04.245570,54886,1545002584,245417820,,-55,-43,-67,-53
2018/12/16/17:23:04.263227,54887,1545002584,263055086,,-55,-45,-69,-53
2018/12/16/17:23:04.283156,54888,1545002584,283002384,,-55,-45,-71,-55
2018/12/16/17:23:04.303137,54889,1545002584,302977081,,-55,-45,-71,-55
2018/12/16/17:23:04.323146,54890,1545002584,322974059,,-55,-45,-71,-55
2018/12/16/17:23:04.343121,54891,1545002584,342972402,,-55,-45,-71,-55
2018/12/16/17:23:04.363159,54892,1545002584,362973396,,-55,-45,-71,-55
2018/12/16/17:23:04.383097,54893,1545002584,382860955,,-55,-45,-73,-55
2018/12/16/17:23:04.403181,54894,1545002584,403000617,,-55,-43,-73,-55
2018/12/16/17:23:04.423148,54895,1545002584,422986013,,-55,-43,-71,-53
2018/12/16/17:23:04.443172,54896,1545002584,442973248,,-55,-43,-71,-53
2018/12/16/17:23:04.463199,54897,1545002584,463036219,,-53,-41,-71,-53
2018/12/16/17:23:04.484927,54898,1545002584,484590320,,-53,-41,-71,-53
2018/12/16/17:23:04.503120,54899,1545002584,502976723,,-53,-41,-71,-53
2018/12/16/17:23:04.523138,54900,1545002584,522973182,,-53,-41,-71,-53
2018/12/16/17:23:04.543138,54901,1545002584,542977326,,-51,-41,-71,-53
2018/12/16/17:23:04.563124,54902,1545002584,562975048,,-51,-39,-71,-53
2018/12/16/17:23:04.583174,54903,1545002584,582976825,,-51,-39,-71,-53
2018/12/16/17:23:04.604661,54904,1545002584,604485252,,-51,-39,-73,-53
2018/12/16/17:23:04.623143,54905,1545002584,623000467,,-51,-39,-73,-53
2018/12/16/17:23:04.643183,54906,1545002584,642979630,,-51,-39,-73,-55
2018/12/16/17:23:04.663411,54907,1545002584,662983048,,-51,-39,-73,-53
2018/12/16/17:23:04.683209,54908,1545002584,683012108,,-51,-39,-73,-53
2018/12/16/17:23:04.703140,54909,1545002584,703004542,,-51,-39,-73,-55
2018/12/16/17:23:04.723165,54910,1545002584,722975951,,-51,-39,-73,-53
