time,.data
2018/12/16/17:22:06.353682,0.577833490838
2018/12/16/17:22:06.353997,0.587660434603
2018/12/16/17:22:06.354054,0.59710936168
2018/12/16/17:22:06.354087,0.606194925797
2018/12/16/17:22:06.354114,0.620272939491
2018/12/16/17:22:06.354146,0.623125587794
2018/12/16/17:22:06.362304,0.636552422181
2018/12/16/17:22:06.383237,0.644120888197
2018/12/16/17:22:06.402589,0.651398373991
2018/12/16/17:22:06.422220,0.6637376789
2018/12/16/17:22:06.442169,0.675602509783
2018/12/16/17:22:06.463033,0.687011001017
2018/12/16/17:22:06.482403,0.697980589502
2018/12/16/17:22:06.502327,0.708528385362
2018/12/16/17:22:06.522319,0.718670382141
2018/12/16/17:22:06.542431,0.728422416746
2018/12/16/17:22:06.562470,0.737799373096
2018/12/16/17:22:06.582668,0.741473725616
2018/12/16/17:22:06.604250,0.745006756885
2018/12/16/17:22:06.622775,0.759087691039
2018/12/16/17:22:06.642639,0.772627050802
2018/12/16/17:22:06.662630,0.78030382892
2018/12/16/17:22:06.682634,0.78768534634
2018/12/16/17:22:06.702683,0.794782844621
2018/12/16/17:22:06.722683,0.801607476822
2018/12/16/17:22:06.742706,0.80816962317
2018/12/16/17:22:06.762749,0.814479264649
2018/12/16/17:22:06.782863,0.820546342234
2018/12/16/17:22:06.802957,0.831721907721
2018/12/16/17:22:06.822961,0.847809480805
2018/12/16/17:22:06.843122,0.857936578663
2018/12/16/17:22:06.863090,0.867673943508
2018/12/16/17:22:06.883159,0.87703702357
2018/12/16/17:22:06.903130,0.880697804256
2018/12/16/17:22:06.923772,0.889559966597
2018/12/16/17:22:06.943947,0.89808127654
2018/12/16/17:22:06.964054,0.906274614544
2018/12/16/17:22:06.983340,0.914153053412
2018/12/16/17:22:07.003408,0.921728246152
2018/12/16/17:22:07.023282,0.929012314574
2018/12/16/17:22:07.043406,0.936015997269
2018/12/16/17:22:07.063754,0.937408585138
2018/12/16/17:22:07.083712,0.94408933435
2018/12/16/17:22:07.103410,0.950513360918
2018/12/16/17:22:07.123556,0.956690080292
2018/12/16/17:22:07.143589,0.962629462786
2018/12/16/17:22:07.163528,0.973682129906
2018/12/16/17:22:07.183870,0.973626020365
2018/12/16/17:22:07.203644,0.9789137913
2018/12/16/17:22:07.223687,0.978656464013
2018/12/16/17:22:07.243661,0.989092708009
2018/12/16/17:22:07.263715,0.99378583559
2018/12/16/17:22:07.283871,1.00364018068
2018/12/16/17:22:07.303868,1.00777379008
2018/12/16/17:22:07.323878,1.01174818526
2018/12/16/17:22:07.343803,1.01556994833
2018/12/16/17:22:07.363892,1.01924449126
2018/12/16/17:22:07.383843,1.02277793487
2018/12/16/17:22:07.403871,1.02617524756
2018/12/16/17:22:07.423923,1.02410017195
2018/12/16/17:22:07.444092,1.02744685861
2018/12/16/17:22:07.463999,1.03066459731
2018/12/16/17:22:07.484097,1.03375880607
2018/12/16/17:22:07.504404,1.03673377755
2018/12/16/17:22:07.524065,1.03425260464
2018/12/16/17:22:07.544197,1.03720858387
2018/12/16/17:22:07.564276,1.04005110084
2018/12/16/17:22:07.584183,1.04278406099
2018/12/16/17:22:07.604230,1.04541213653
2018/12/16/17:22:07.624454,1.04793913225
2018/12/16/17:22:07.644172,1.05036870657
2018/12/16/17:22:07.664298,1.04736311331
2018/12/16/17:22:07.684327,1.03913116813
2018/12/16/17:22:07.704241,1.03655778789
2018/12/16/17:22:07.724431,1.02339948049
2018/12/16/17:22:07.744603,1.01608944274
2018/12/16/17:22:07.764416,1.00371837938
2018/12/16/17:22:07.784502,0.997165077809
2018/12/16/17:22:07.804509,0.990863826302
2018/12/16/17:22:07.824746,0.979462978957
2018/12/16/17:22:07.844795,0.968500625742
2018/12/16/17:22:07.864593,0.957960359993
2018/12/16/17:22:07.884615,0.937141127256
2018/12/16/17:22:07.904794,0.922465044401
2018/12/16/17:22:07.924743,0.908352967774
2018/12/16/17:22:07.944736,0.889442170158
2018/12/16/17:22:07.964946,0.876600204079
2018/12/16/17:22:07.984727,0.864252159772
2018/12/16/17:22:08.004737,0.847037547079
2018/12/16/17:22:08.024845,0.830484576378
2018/12/16/17:22:08.044905,0.814568716893
2018/12/16/17:22:08.065384,0.804606499016
2018/12/16/17:22:08.084970,0.784343998535
2018/12/16/17:22:08.105179,0.770202318162
2018/12/16/17:22:08.125273,0.761946958733
2018/12/16/17:22:08.145205,0.743325209802
2018/12/16/17:22:08.166197,0.720077271822
2018/12/16/17:22:08.185150,0.703065895464
2018/12/16/17:22:08.205163,0.692050754475
2018/12/16/17:22:08.225199,0.670774910931
2018/12/16/17:22:08.245460,0.655659779223
2018/12/16/17:22:08.266203,0.641125998734
2018/12/16/17:22:08.285281,0.627151209802
2018/12/16/17:22:08.305343,0.619055405919
2018/12/16/17:22:08.325310,0.600587534278
2018/12/16/17:22:08.345469,0.588171917056
2018/12/16/17:22:08.366135,0.570891413413
2018/12/16/17:22:08.385654,0.554276003022
2018/12/16/17:22:08.405441,0.543641598541
2018/12/16/17:22:08.425539,0.53875816128
2018/12/16/17:22:08.445833,0.523378186705
2018/12/16/17:22:08.465777,0.513932159775
2018/12/16/17:22:08.485718,0.504849441572
2018/12/16/17:22:08.505718,0.496115600188
2018/12/16/17:22:08.525779,0.487718134277
2018/12/16/17:22:08.545738,0.479643647825
2018/12/16/17:22:08.566599,0.47722121171
2018/12/16/17:22:08.586036,0.469550453049
2018/12/16/17:22:08.605863,0.462174723566
2018/12/16/17:22:08.625852,0.45508221749
2018/12/16/17:22:08.645916,0.45360491027
2018/12/16/17:22:08.666141,0.446842470895
2018/12/16/17:22:08.686301,0.43499771518
2018/12/16/17:22:08.706305,0.428950937155
2018/12/16/17:22:08.726089,0.428478679178
2018/12/16/17:22:08.746336,0.428024126473
2018/12/16/17:22:08.766210,0.416903611734
2018/12/16/17:22:08.786113,0.4062108091
2018/12/16/17:22:08.806248,0.406612712936
2018/12/16/17:22:08.826171,0.40699961743
2018/12/16/17:22:08.846445,0.407371640981
2018/12/16/17:22:08.866510,0.407728897437
2018/12/16/17:22:08.886272,0.402730920094
2018/12/16/17:22:08.906320,0.403266665815
2018/12/16/17:22:08.926457,0.398440312764
2018/12/16/17:22:08.946305,0.393799588678
2018/12/16/17:22:08.966348,0.400020798809
2018/12/16/17:22:08.986393,0.400661238461
2018/12/16/17:22:09.006748,0.406618538986
2018/12/16/17:22:09.026462,0.401663267737
2018/12/16/17:22:09.046474,0.40224007701
2018/12/16/17:22:09.066814,0.402795159808
2018/12/16/17:22:09.086585,0.403328434771
2018/12/16/17:22:09.106646,0.403841657655
2018/12/16/17:22:09.126615,0.404334682701
2018/12/16/17:22:09.146653,0.404809203742
2018/12/16/17:22:09.166745,0.41060696714
2018/12/16/17:22:09.186822,0.405498294808
2018/12/16/17:22:09.206954,0.39524415821
2018/12/16/17:22:09.226864,0.390725904647
2018/12/16/17:22:09.246971,0.397065791892
2018/12/16/17:22:09.266959,0.403161378823
2018/12/16/17:22:09.286923,0.398339075273
2018/12/16/17:22:09.307019,0.393702244936
2018/12/16/17:22:09.327084,0.394585247394
2018/12/16/17:22:09.347064,0.395434746716
2018/12/16/17:22:09.367740,0.390909162826
2018/12/16/17:22:09.387401,0.381216146689
2018/12/16/17:22:09.407363,0.377237890528
2018/12/16/17:22:09.427145,0.378754137386
2018/12/16/17:22:09.447324,0.380212525555
2018/12/16/17:22:09.467456,0.370930918543
2018/12/16/17:22:09.487240,0.367347789583
2018/12/16/17:22:09.507307,0.363902931773
2018/12/16/17:22:09.527321,0.35524861683
2018/12/16/17:22:09.547293,0.352269111817
2018/12/16/17:22:09.567368,0.344062251488
2018/12/16/17:22:09.587426,0.341512532799
2018/12/16/17:22:09.607540,0.333719387048
2018/12/16/17:22:09.627460,0.331567929335
2018/12/16/17:22:09.647547,0.329498761498
2018/12/16/17:22:09.667995,0.327509635537
2018/12/16/17:22:09.687661,0.325597014421
2018/12/16/17:22:09.707671,0.323757497158
2018/12/16/17:22:09.727709,0.321989189056
2018/12/16/17:22:09.747692,0.320288892804
2018/12/16/17:22:09.767933,0.318653992562
2018/12/16/17:22:09.787746,0.317081514601
2018/12/16/17:22:09.807848,0.320911926723
2018/12/16/17:22:09.827804,0.319252605141
2018/12/16/17:22:09.847865,0.317657562117
2018/12/16/17:22:09.868042,0.321465818565
2018/12/16/17:22:09.887966,0.325127145114
2018/12/16/17:22:09.907983,0.317964206581
2018/12/16/17:22:09.928111,0.316418717347
2018/12/16/17:22:09.948056,0.31493221151
2018/12/16/17:22:09.968105,0.318845289135
2018/12/16/17:22:09.988162,0.317265912111
2018/12/16/17:22:10.008281,0.31574682186
2018/12/16/17:22:10.028139,0.314286616654
2018/12/16/17:22:10.048138,0.312882573187
2018/12/16/17:22:10.068400,0.316874024559
2018/12/16/17:22:10.088323,0.315370465403
2018/12/16/17:22:10.108365,0.313924735446
2018/12/16/17:22:10.128373,0.317876103653
2018/12/16/17:22:10.148415,0.321675954657
2018/12/16/17:22:10.168426,0.325329199049
2018/12/16/17:22:10.188469,0.334184344202
2018/12/16/17:22:10.208442,0.337356496688
2018/12/16/17:22:10.228629,0.335065150142
2018/12/16/17:22:10.248649,0.338203425477
2018/12/16/17:22:10.268891,0.341221456411
2018/12/16/17:22:10.288926,0.344122950735
2018/12/16/17:22:10.308667,0.336229404294
2018/12/16/17:22:10.328795,0.333981407456
2018/12/16/17:22:10.348726,0.331819872035
2018/12/16/17:22:10.368779,0.329741014095
2018/12/16/17:22:10.388759,0.33308452239
2018/12/16/17:22:10.408811,0.336298975715
2018/12/16/17:22:10.428799,0.334048303053
2018/12/16/17:22:10.449437,0.337226146388
2018/12/16/17:22:10.469083,0.334939354819
2018/12/16/17:22:10.489129,0.332740975268
2018/12/16/17:22:10.509158,0.351994496935
2018/12/16/17:22:10.529251,0.354482102044
2018/12/16/17:22:10.549296,0.346189668209
2018/12/16/17:22:10.569278,0.354242487625
2018/12/16/17:22:10.589275,0.356643173056
