time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2018/12/16/17:23:04.140812,1085,1545002583,430977058,,0,1,30.6276773333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:05.131393,1086,1545002584,440749778,,0,1,30.6277173333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:06.110928,1087,1545002585,460670967,,0,1,30.6277626667,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:07.140848,1088,1545002586,470726045,,0,1,30.627808,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:08.130936,1089,1545002587,480761229,,0,1,30.6278533333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:09.111651,1090,1545002588,491119877,,0,1,30.627904,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:10.141027,1091,1545002589,500630964,,0,1,30.6279573333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:11.131018,1092,1545002590,510727010,,0,1,30.6280053333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:12.111488,1093,1545002591,520731850,,0,1,30.6280533333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:13.148623,1094,1545002592,530981123,,0,1,30.628096,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:14.131241,1095,1545002593,542568739,,0,1,30.6281386667,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:15.111022,1096,1545002594,560534495,,0,1,30.6281813333,-96.4820693333,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:16.142678,1097,1545002595,571040270,,0,1,30.6282293333,-96.4820586667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:17.131319,1098,1545002596,580564062,,0,1,30.62828,-96.482048,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:18.111104,1099,1545002597,592281262,,0,1,30.6283306667,-96.482048,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:19.143203,1100,1545002598,600593467,,0,1,30.628384,-96.482048,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:20.131410,1101,1545002599,610800927,,0,1,30.6284373333,-96.4820586667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:21.111101,1102,1545002600,630868423,,0,1,30.6284906667,-96.4820693333,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:22.142893,1103,1545002601,630845087,,0,1,30.628544,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:23.131078,1104,1545002602,641207906,,0,1,30.6285973333,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:24.671050,1105,1545002603,650870672,,0,1,30.6286533333,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:25.680856,1106,1545002604,670795950,,0,1,30.6287093333,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:26.691063,1107,1545002605,680584494,,0,1,30.6287626667,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:27.700884,1108,1545002606,690857118,,0,1,30.628816,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:28.711190,1109,1545002607,700607760,,0,1,30.628872,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:29.720939,1110,1545002608,710881392,,0,1,30.6289226667,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:30.731135,1111,1545002609,720693939,,0,1,30.6289653333,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:31.741374,1112,1545002610,730841762,,0,1,30.628992,-96.4820586667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:23:32.751101,1113,1545002611,741108298,,0,1,30.6290106667,-96.4820373333,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
