time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2018/12/16/17:22:06.841437,1028,1545002525,821489634,,0,1,30.627744,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:07.841066,1029,1545002526,841179821,,0,1,30.6277493333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:08.852257,1030,1545002527,840843529,,0,1,30.6277626667,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:09.876570,1031,1545002528,852018867,,0,1,30.627784,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:10.880996,1032,1545002529,876160722,,0,1,30.627808,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:11.892789,1033,1545002530,880707307,,0,1,30.6278373333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:12.901028,1034,1545002531,892557182,,0,1,30.6278666667,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:13.912343,1035,1545002532,900771747,,0,1,30.6279013333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:14.920995,1036,1545002533,912059952,,0,1,30.6279413333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:15.931346,1037,1545002534,920739756,,0,1,30.6279786667,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:16.941317,1038,1545002535,931108876,,0,1,30.6280186667,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:17.951220,1039,1545002536,941006442,,0,1,30.6280586667,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:18.112025,1040,1545002537,950935481,,0,1,30.6281013333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:19.971869,1041,1545002538,961629257,,0,1,30.628144,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:20.132623,1042,1545002539,971316099,,0,1,30.6281893333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:21.112186,1043,1545002540,981332628,,0,1,30.6282373333,-96.4820906667,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:22.141268,1044,1545002541,992399557,,0,1,30.6282853333,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:23.131657,1045,1545002543,11442559,,0,1,30.6283386667,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:24.111180,1046,1545002544,21017058,,0,1,30.628392,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:25.141296,1047,1545002545,30945135,,0,1,30.628448,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:26.131325,1048,1545002546,40781750,,0,1,30.628504,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:27.112410,1049,1545002547,51156859,,0,1,30.6285626667,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:28.141106,1050,1545002548,61593342,,0,1,30.6286213333,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:29.131277,1051,1545002549,71005289,,0,1,30.6286773333,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2018/12/16/17:22:30.111497,1052,1545002550,81411812,,0,1,30.628736,-96.48208,54.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
