time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2018/12/16/17:23:04.045019,109483,1545002584,44826030,imu_link,0,1,30.6276779175,-96.4820785522,48.9679374695,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.055190,109484,1545002584,54959058,imu_link,0,1,30.6276798248,-96.4820785522,48.9669532776,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.064943,109485,1545002584,64766883,imu_link,0,1,30.6276798248,-96.4820785522,48.9666595459,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.074974,109486,1545002584,74749946,imu_link,0,1,30.6276798248,-96.4820785522,48.9663543701,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.085057,109487,1545002584,84863901,imu_link,0,1,30.6276798248,-96.4820785522,48.9648132324,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.095016,109488,1545002584,94783067,imu_link,0,1,30.6276817322,-96.4820785522,48.9632339478,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.105131,109489,1545002584,104944944,imu_link,0,1,30.6276817322,-96.4820785522,48.9618759155,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.115591,109490,1545002584,115364074,imu_link,0,1,30.6276817322,-96.4820785522,48.9605293274,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.124992,109491,1545002584,124809026,imu_link,0,1,30.6276817322,-96.4820785522,48.9597091675,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.135151,109492,1545002584,134953975,imu_link,0,1,30.6276817322,-96.4820785522,48.9589271545,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.145045,109493,1545002584,144845962,imu_link,0,1,30.6276836395,-96.4820785522,48.9574317932,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.155282,109494,1545002584,154901981,imu_link,0,1,30.6276836395,-96.4820785522,48.9633178711,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.165149,109495,1545002584,164937973,imu_link,0,1,30.6276836395,-96.4820785522,48.9688529968,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.176010,109496,1545002584,175837993,imu_link,0,1,30.6276836395,-96.4820785522,48.9670066833,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.185078,109497,1545002584,184870958,imu_link,0,1,30.6276836395,-96.4820785522,48.9662742615,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.195103,109498,1545002584,194850921,imu_link,0,1,30.6276855469,-96.4820785522,48.9655075073,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.204965,109499,1545002584,204772949,imu_link,0,1,30.6276855469,-96.4820785522,48.9637641907,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.215097,109500,1545002584,214899063,imu_link,0,1,30.6276855469,-96.4820785522,48.9619827271,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.225030,109501,1545002584,224845886,imu_link,0,1,30.6276855469,-96.4820785522,48.9604759216,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.235095,109502,1545002584,234870910,imu_link,0,1,30.6276874542,-96.4820785522,48.9590301514,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.245045,109503,1545002584,244817972,imu_link,0,1,30.6276874542,-96.4820785522,48.9583282471,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.255162,109504,1545002584,254929065,imu_link,0,1,30.6276874542,-96.4820785522,48.9576454163,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.264918,109505,1545002584,264761924,imu_link,0,1,30.6276874542,-96.4820785522,48.9569969177,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.275419,109506,1545002584,275199890,imu_link,0,1,30.6276874542,-96.4820785522,48.9563179016,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.285097,109507,1545002584,284881114,imu_link,0,1,30.6276893616,-96.4820785522,48.9548873901,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.294917,109508,1545002584,294723033,imu_link,0,1,30.6276893616,-96.4820785522,48.9534683228,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.305124,109509,1545002584,304928064,imu_link,0,1,30.6276893616,-96.4820785522,48.9523048401,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.314969,109510,1545002584,314809083,imu_link,0,1,30.6276893616,-96.4820785522,48.9511642456,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.325104,109511,1545002584,324892997,imu_link,0,1,30.6276893616,-96.4820785522,48.9512672424,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.335018,109512,1545002584,334800004,imu_link,0,1,30.6276912689,-96.4820785522,48.9513969421,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.345846,109513,1545002584,345659971,imu_link,0,1,30.6276912689,-96.4820785522,48.9508094788,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.354985,109514,1545002584,354851007,imu_link,0,1,30.6276912689,-96.4820785522,48.9502449036,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.364999,109515,1545002584,364809989,imu_link,0,1,30.6276912689,-96.4820785522,48.9499320984,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.376838,109516,1545002584,376619100,imu_link,0,1,30.6276912689,-96.4820785522,48.9496078491,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.385093,109517,1545002584,384898900,imu_link,0,1,30.6276931763,-96.4820785522,48.9487495422,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.395013,109518,1545002584,394817113,imu_link,0,1,30.6276931763,-96.4820785522,48.9540672302,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.405111,109519,1545002584,404927015,imu_link,0,1,30.6276931763,-96.4820785522,48.9595985413,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
2018/12/16/17:23:04.415087,109520,1545002584,414858102,imu_link,0,1,30.6276931763,-96.4820785522,48.9589157104,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0001)",0
