time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.velE,.velN,.velU
2018/12/16/17:23:03.762494,2419,2407,516300000,mti/data,-0.0599729344249,4.3981962204,0.00410343334079
2018/12/16/17:23:03.762522,2420,2407,526300000,mti/data,-0.0617468953133,4.40150928497,0.00601538876072
2018/12/16/17:23:03.762621,2421,2407,536300000,mti/data,-0.0605488605797,4.39972257614,0.00790992751718
2018/12/16/17:23:03.762645,2422,2407,546300000,mti/data,-0.0573384836316,4.39732551575,0.0113772917539
2018/12/16/17:23:03.762662,2423,2407,556300000,mti/data,-0.0615020021796,4.39539957047,0.0107000945136
2018/12/16/17:23:03.762674,2424,2407,566300000,mti/data,-0.0652032420039,4.39639949799,0.0097089977935
2018/12/16/17:23:03.762687,2425,2407,576300000,mti/data,-0.0645606443286,4.39951610565,0.00742607284337
2018/12/16/17:23:03.762707,2426,2407,586300000,mti/data,-0.0661206245422,4.40072822571,0.00949695706367
2018/12/16/17:23:03.762745,2427,2407,596300000,mti/data,-0.0662506595254,4.39607143402,0.0104547161609
2018/12/16/17:23:03.762788,2428,2407,606300000,mti/data,-0.0667999535799,4.39528751373,0.0113668022677
2018/12/16/17:23:03.763186,2429,2407,616300000,mti/data,-0.0688912346959,4.3955321312,0.00809090118855
2018/12/16/17:23:03.764838,2430,2407,626300000,mti/data,-0.0703186690807,4.39432621002,0.00655299425125
2018/12/16/17:23:03.774884,2431,2407,636300000,mti/data,-0.0675948262215,4.39497566223,0.00599454715848
2018/12/16/17:23:03.784800,2432,2407,646300000,mti/data,-0.0722695142031,4.39354324341,0.00749519374222
2018/12/16/17:23:03.795034,2433,2407,656300000,mti/data,-0.070573091507,4.39054393768,0.00569028221071
2018/12/16/17:23:03.804686,2434,2407,666300000,mti/data,-0.0745696127415,4.38991165161,0.00237460806966
2018/12/16/17:23:03.814743,2435,2407,676300000,mti/data,-0.0802386328578,4.39153766632,0.00321746384725
2018/12/16/17:23:03.825130,2436,2407,686300000,mti/data,-0.0714172124863,4.39336204529,0.000887896399945
2018/12/16/17:23:03.834869,2437,2407,696300000,mti/data,-0.0767761766911,4.39394950867,0.00154558988288
2018/12/16/17:23:03.844605,2438,2407,706300000,mti/data,-0.0812622383237,4.38861989975,0.000423008110374
2018/12/16/17:23:03.854970,2439,2407,716300000,mti/data,-0.0756700858474,4.38903045654,-0.00326421204954
2018/12/16/17:23:03.864576,2440,2407,726300000,mti/data,-0.074277125299,4.3920211792,-0.00351808127016
2018/12/16/17:23:03.874852,2441,2407,736300000,mti/data,-0.0816835463047,4.38826131821,0.00173947028816
2018/12/16/17:23:03.885337,2442,2407,746300000,mti/data,-0.0838616490364,4.38254928589,0.00105758616701
2018/12/16/17:23:03.894622,2443,2407,756300000,mti/data,-0.0792104750872,4.38770103455,-0.000398471951485
2018/12/16/17:23:03.904636,2444,2407,766300000,mti/data,-0.0790020748973,4.39127826691,0.00219523534179
2018/12/16/17:23:03.914557,2445,2407,776300000,mti/data,-0.0767405852675,4.39049339294,0.00441859522834
2018/12/16/17:23:03.924731,2446,2407,786300000,mti/data,-0.0806068629026,4.39142227173,0.00565133197233
2018/12/16/17:23:03.934652,2447,2407,796300000,mti/data,-0.0824276506901,4.3906879425,0.00737198442221
2018/12/16/17:23:03.944715,2448,2407,806300000,mti/data,-0.0824102163315,4.39075946808,0.00615411251783
2018/12/16/17:23:03.954642,2449,2407,816300000,mti/data,-0.0835541337729,4.3921585083,0.0063241594471
