time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2018/12/16/17:22:06.353067,51891,1545002526,221486647,base_footprint,0.447222232819,0.0,0.0,0.0,0.0,-0.00129548552231
2018/12/16/17:22:06.353681,51892,1545002526,241514523,base_footprint,0.463888883591,0.0,0.0,0.0,0.0,-0.00132456696087
2018/12/16/17:22:06.353993,51893,1545002526,261528749,base_footprint,0.480555564165,0.0,0.0,0.0,0.0,-0.00133238184602
2018/12/16/17:22:06.354050,51894,1545002526,281582410,base_footprint,0.497222214937,0.0,0.0,0.0,0.0,-0.00135801475564
2018/12/16/17:22:06.354085,51895,1545002526,301620435,base_footprint,0.513888895512,0.0,0.0,0.0,0.0,-0.00136100186472
2018/12/16/17:22:06.354110,51896,1545002526,321641032,base_footprint,0.533333361149,0.0,0.0,0.0,0.0,-0.0013683571103
2018/12/16/17:22:06.354141,51897,1545002526,341677765,base_footprint,0.547222197056,0.0,0.0,0.0,0.0,-0.00138134547657
2018/12/16/17:22:06.362292,51898,1545002526,361697209,base_footprint,0.566666662693,0.0,0.0,0.0,0.0,-0.00138352795365
2018/12/16/17:22:06.383223,51899,1545002526,381723155,base_footprint,0.583333313465,0.0,0.0,0.0,0.0,-0.00142421991376
2018/12/16/17:22:06.402464,51900,1545002526,401889246,base_footprint,0.600000023842,0.0,0.0,0.0,0.0,-0.0014649120194
2018/12/16/17:22:06.422208,51901,1545002526,421805223,base_footprint,0.619444429874,0.0,0.0,0.0,0.0,-0.001538020529
2018/12/16/17:22:06.442158,51902,1545002526,441836130,base_footprint,0.638888895512,0.0,0.0,0.0,0.0,-0.00158629925407
2018/12/16/17:22:06.463027,51903,1545002526,461923200,base_footprint,0.658333361149,0.0,0.0,0.0,0.0,-0.00166182186211
2018/12/16/17:22:06.482297,51904,1545002526,481932786,base_footprint,0.677777767181,0.0,0.0,0.0,0.0,-0.0017389537098
2018/12/16/17:22:06.502312,51905,1545002526,501956667,base_footprint,0.697222232819,0.0,0.0,0.0,0.0,-0.00181769510542
2018/12/16/17:22:06.522257,51906,1545002526,521983175,base_footprint,0.716666638851,0.0,0.0,0.0,0.0,-0.00192770384738
2018/12/16/17:22:06.542345,51907,1545002526,542034000,base_footprint,0.736111104488,0.0,0.0,0.0,0.0,-0.00204093167452
2018/12/16/17:22:06.562454,51908,1545002526,562070315,base_footprint,0.755555570126,0.0,0.0,0.0,0.0,-0.00215737858934
2018/12/16/17:22:06.582662,51909,1545002526,582091823,base_footprint,0.772222220898,0.0,0.0,0.0,0.0,-0.00223692525498
2018/12/16/17:22:06.604156,51910,1545002526,602112200,base_footprint,0.78888887167,0.0,0.0,0.0,0.0,-0.00235049891723
2018/12/16/17:22:06.622702,51911,1545002526,622406577,base_footprint,0.811111092567,0.0,0.0,0.0,0.0,-0.00248384431184
2018/12/16/17:22:06.642521,51912,1545002526,642181864,base_footprint,0.833333313465,0.0,0.0,0.0,0.0,-0.00262086857437
2018/12/16/17:22:06.662556,51913,1545002526,662224688,base_footprint,0.852777779102,0.0,0.0,0.0,0.0,-0.00275260566586
2018/12/16/17:22:06.682628,51914,1545002526,682261748,base_footprint,0.87222224474,0.0,0.0,0.0,0.0,-0.00288756186214
2018/12/16/17:22:06.702607,51915,1545002526,702277928,base_footprint,0.891666650772,0.0,0.0,0.0,0.0,-0.00306263854514
2018/12/16/17:22:06.722631,51916,1545002526,722312503,base_footprint,0.911111116409,0.0,0.0,0.0,0.0,-0.00320483791711
2018/12/16/17:22:06.742636,51917,1545002526,742340209,base_footprint,0.930555582047,0.0,0.0,0.0,0.0,-0.00335025682408
2018/12/16/17:22:06.762694,51918,1545002526,762394377,base_footprint,0.949999988079,0.0,0.0,0.0,0.0,-0.00349889442736
2018/12/16/17:22:06.782727,51919,1545002526,782428824,base_footprint,0.969444453716,0.0,0.0,0.0,0.0,-0.0036507515153
2018/12/16/17:22:06.802925,51920,1545002526,802442335,base_footprint,0.991666674614,0.0,0.0,0.0,0.0,-0.00381651834716
2018/12/16/17:22:06.822954,51921,1545002526,822483871,base_footprint,1.01666665077,0.0,0.0,0.0,0.0,-0.00395480880606
2018/12/16/17:22:06.843029,51922,1545002526,842508790,base_footprint,1.03888893127,0.0,0.0,0.0,0.0,-0.00404125294245
2018/12/16/17:22:06.862996,51923,1545002526,862561684,base_footprint,1.06111109257,0.0,0.0,0.0,0.0,-0.00412769661512
2018/12/16/17:22:06.883142,51924,1545002526,882591671,base_footprint,1.08333337307,0.0,0.0,0.0,0.0,-0.00425897574332
2018/12/16/17:22:06.902990,51925,1545002526,902624177,base_footprint,1.1027777195,0.0,0.0,0.0,0.0,-0.00433541850955
2018/12/16/17:22:06.923764,51926,1545002526,922640674,base_footprint,1.125,0.0,0.0,0.0,0.0,-0.00437622292758
2018/12/16/17:22:06.943415,51927,1545002526,942700424,base_footprint,1.1472222805,0.0,0.0,0.0,0.0,-0.00446266706397
2018/12/16/17:22:06.963493,51928,1545002526,962699814,base_footprint,1.1694444418,0.0,0.0,0.0,0.0,-0.00454911073664
2018/12/16/17:22:06.983323,51929,1545002526,982753419,base_footprint,1.1916667223,0.0,0.0,0.0,0.0,-0.00463555487303
2018/12/16/17:22:07.003403,51930,1545002527,2786105,base_footprint,1.21388888359,0.0,0.0,0.0,0.0,-0.00477223672677
2018/12/16/17:22:07.023122,51931,1545002527,22819321,base_footprint,1.23611116409,0.0,0.0,0.0,0.0,-0.00491075856845
2018/12/16/17:22:07.043385,51932,1545002527,42858244,base_footprint,1.25833332539,0.0,0.0,0.0,0.0,-0.00510319744693
2018/12/16/17:22:07.063736,51933,1545002527,62938183,base_footprint,1.27777779102,0.0,0.0,0.0,0.0,-0.00523493775349
2018/12/16/17:22:07.083690,51934,1545002527,82927262,base_footprint,1.29999995232,0.0,0.0,0.0,0.0,-0.00554119211008
2018/12/16/17:22:07.103404,51935,1545002527,102972728,base_footprint,1.32222223282,0.0,0.0,0.0,0.0,-0.0058000831819
2018/12/16/17:22:07.123549,51936,1545002527,122975133,base_footprint,1.34444439411,0.0,0.0,0.0,0.0,-0.00612013725075
2018/12/16/17:22:07.143568,51937,1545002527,143020329,base_footprint,1.36666667461,0.0,0.0,0.0,0.0,-0.00644755244761
2018/12/16/17:22:07.163519,51938,1545002527,163069992,base_footprint,1.39166665077,0.0,0.0,0.0,0.0,-0.00679589274232
2018/12/16/17:22:07.183573,51939,1545002527,183089596,base_footprint,1.41111111641,0.0,0.0,0.0,0.0,-0.00718287089395
2018/12/16/17:22:07.203638,51940,1545002527,203115090,base_footprint,1.4333332777,0.0,0.0,0.0,0.0,-0.00765194188962
2018/12/16/17:22:07.223668,51941,1545002527,223137860,base_footprint,1.45277774334,0.0,0.0,0.0,0.0,-0.0081766725416
2018/12/16/17:22:07.243624,51942,1545002527,243190199,base_footprint,1.4777777195,0.0,0.0,0.0,0.0,-0.00874555935328
2018/12/16/17:22:07.263689,51943,1545002527,263212082,base_footprint,1.5,0.0,0.0,0.0,0.0,-0.00918752134273
2018/12/16/17:22:07.283861,51944,1545002527,283246800,base_footprint,1.52499997616,0.0,0.0,0.0,0.0,-0.00959314968572
2018/12/16/17:22:07.303861,51945,1545002527,303418600,base_footprint,1.54722225666,0.0,0.0,0.0,0.0,-0.00998912788104
2018/12/16/17:22:07.323814,51946,1545002527,323436994,base_footprint,1.56944441795,0.0,0.0,0.0,0.0,-0.0102625328139
2018/12/16/17:22:07.343749,51947,1545002527,343452641,base_footprint,1.59166669846,0.0,0.0,0.0,0.0,-0.0105396192572
2018/12/16/17:22:07.363837,51948,1545002527,363466197,base_footprint,1.61388885975,0.0,0.0,0.0,0.0,-0.0108203857054
2018/12/16/17:22:07.383748,51949,1545002527,383430672,base_footprint,1.63611114025,0.0,0.0,0.0,0.0,-0.0111048338113
2018/12/16/17:22:07.403771,51950,1545002527,403512746,base_footprint,1.65833330154,0.0,0.0,0.0,0.0,-0.0113243129726
2018/12/16/17:22:07.423917,51951,1545002527,423495763,base_footprint,1.67777776718,0.0,0.0,0.0,0.0,-0.0115265479993
2018/12/16/17:22:07.444086,51952,1545002527,443672200,base_footprint,1.70000004768,0.0,0.0,0.0,0.0,-0.0116792179106
2018/12/16/17:22:07.463992,51953,1545002527,463675036,base_footprint,1.72222220898,0.0,0.0,0.0,0.0,-0.0118318870029
2018/12/16/17:22:07.484013,51954,1545002527,483751517,base_footprint,1.74444448948,0.0,0.0,0.0,0.0,-0.0119845569142
2018/12/16/17:22:07.503977,51955,1545002527,503691198,base_footprint,1.76666665077,0.0,0.0,0.0,0.0,-0.0121372260064
2018/12/16/17:22:07.524053,51956,1545002527,523680526,base_footprint,1.78611111641,0.0,0.0,0.0,0.0,-0.0122708119741
2018/12/16/17:22:07.544178,51957,1545002527,543749006,base_footprint,1.8083332777,0.0,0.0,0.0,0.0,-0.0124234810664
2018/12/16/17:22:07.564265,51958,1545002527,563869266,base_footprint,1.8305555582,0.0,0.0,0.0,0.0,-0.0125761509776
2018/12/16/17:22:07.584177,51959,1545002527,583745456,base_footprint,1.8527777195,0.0,0.0,0.0,0.0,-0.0128055200953
2018/12/16/17:22:07.604169,51960,1545002527,603919859,base_footprint,1.875,0.0,0.0,0.0,0.0,-0.0130367289528
2018/12/16/17:22:07.624442,51961,1545002527,623810705,base_footprint,1.8972222805,0.0,0.0,0.0,0.0,-0.013269779381
2018/12/16/17:22:07.644110,51962,1545002527,643836411,base_footprint,1.9194444418,0.0,0.0,0.0,0.0,-0.0135841292286
2018/12/16/17:22:07.664292,51963,1545002527,663921159,base_footprint,1.93888890743,0.0,0.0,0.0,0.0,-0.0138822723317
2018/12/16/17:22:07.684237,51964,1545002527,683923532,base_footprint,1.9555555582,0.0,0.0,0.0,0.0,-0.014163517944
2018/12/16/17:22:07.704189,51965,1545002527,703947044,base_footprint,1.97500002384,0.0,0.0,0.0,0.0,-0.0145496379418
2018/12/16/17:22:07.724416,51966,1545002527,723976044,base_footprint,1.98888885975,0.0,0.0,0.0,0.0,-0.0147342936758
2018/12/16/17:22:07.744364,51967,1545002527,744006210,base_footprint,2.00555562973,0.0,0.0,0.0,0.0,-0.0150238248062
2018/12/16/17:22:07.764345,51968,1545002527,764028762,base_footprint,2.01944446564,0.0,0.0,0.0,0.0,-0.0152950778119
2018/12/16/17:22:07.784398,51969,1545002527,784080072,base_footprint,2.03611111641,0.0,0.0,0.0,0.0,-0.0157584951863
2018/12/16/17:22:07.804504,51970,1545002527,804103585,base_footprint,2.05277776718,0.0,0.0,0.0,0.0,-0.0162274411747
2018/12/16/17:22:07.824436,51971,1545002527,824139443,base_footprint,2.06666660309,0.0,0.0,0.0,0.0,-0.0165083631987
2018/12/16/17:22:07.844486,51972,1545002527,844181801,base_footprint,2.080555439,0.0,0.0,0.0,0.0,-0.0168777277058
2018/12/16/17:22:07.864517,51973,1545002527,864216433,base_footprint,2.09444451332,0.0,0.0,0.0,0.0,-0.0172505501216
2018/12/16/17:22:07.884558,51974,1545002527,884242428,base_footprint,2.1027777195,0.0,0.0,0.0,0.0,-0.017580375634
2018/12/16/17:22:07.904617,51975,1545002527,904303840,base_footprint,2.11388897896,0.0,0.0,0.0,0.0,-0.0177607973617
2018/12/16/17:22:07.924728,51976,1545002527,924311532,base_footprint,2.125,0.0,0.0,0.0,0.0,-0.0179421361935
2018/12/16/17:22:07.944679,51977,1545002527,944375748,base_footprint,2.1333334446,0.0,0.0,0.0,0.0,-0.0180124984513
