time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2018/12/16/17:23:03.773338,109445,1545002583,772262280,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0208,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.2,-0.0,-9.67,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.783419,109446,1545002583,782861217,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0216,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.17,0.07,-9.7,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.793320,109447,1545002583,792374225,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0002,0.0,0.0218,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.2,0.11,-9.7,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.803374,109448,1545002583,802414705,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0006,0.0,0.0214,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.23,0.09,-9.65,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.813489,109449,1545002583,812976904,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0012,0.0,0.0208,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.2,0.06,-9.6,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.822896,109450,1545002583,822275729,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0014,0.0,0.0202,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.14,0.05,-9.58,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.833281,109451,1545002583,832226342,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0012,0.0,0.0196,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.13,0.05,-9.55,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.844496,109452,1545002583,843295302,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0002,0.0,0.02,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.15,0.04,-9.52,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.852974,109453,1545002583,852490129,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0208,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.18,0.03,-9.55,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.862734,109454,1545002583,862226616,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0214,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.21,0.04,-9.63,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.872707,109455,1545002583,872275682,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0218,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.26,0.09,-9.72,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.882963,109456,1545002583,882252272,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0212,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.27,0.16,-9.8,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.892789,109457,1545002583,892295308,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0008,0.0,0.0204,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.27,0.2,-9.87,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.902646,109458,1545002583,902147881,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0026,0.0,0.0196,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.22,0.2,-9.89,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.913519,109459,1545002583,912984212,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0046,0.0,0.0196,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.15,0.17,-9.85,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.922582,109460,1545002583,922148294,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0054,0.0,0.02,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.11,0.14,-9.79,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.932751,109461,1545002583,932283293,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0042,0.0,0.0196,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.1,0.12,-9.75,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.942601,109462,1545002583,942163041,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0026,0.0,0.0186,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.13,0.11,-9.74,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.952791,109463,1545002583,952286122,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0018,0.0,0.0174,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.14,0.13,-9.75,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
2018/12/16/17:23:03.962631,109464,1545002583,962190092,base_footprint,0.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.002,0.0,0.0166,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.5)",-0.12,0.17,-9.74,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)"
