time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.hEll
2018/12/16/17:23:11.408467,15901,0,0,5,22.7830000043,4.57900000005,0.0
2018/12/16/17:23:11.428900,15902,0,0,5,22.7830000043,4.57900000005,0.0
2018/12/16/17:23:11.449782,15903,0,0,5,22.7830000043,4.57900000005,0.0
2018/12/16/17:23:11.467948,15904,0,0,5,22.7830000043,4.57900000005,0.0
2018/12/16/17:23:11.488451,15905,0,0,5,22.7830000043,4.57900000005,0.0
2018/12/16/17:23:11.509216,15906,0,0,5,22.7830000043,4.57900000005,0.0
2018/12/16/17:23:11.528894,15907,0,0,5,22.7830000043,4.57900000005,0.0
2018/12/16/17:23:11.548804,15908,0,0,5,22.7830000043,4.57900000005,0.0
2018/12/16/17:23:11.568568,15909,0,0,5,22.783000003,4.57900000001,0.0
2018/12/16/17:23:11.589631,15910,0,0,5,22.783000003,4.57900000001,0.0
2018/12/16/17:23:11.608945,15911,0,0,5,22.783000003,4.57900000001,0.0
2018/12/16/17:23:11.629199,15912,0,0,5,22.783000003,4.57900000001,0.0
2018/12/16/17:23:11.649347,15913,0,0,5,22.783000003,4.57900000001,0.0
2018/12/16/17:23:11.668091,15914,0,0,5,22.783000003,4.57900000001,0.0
2018/12/16/17:23:11.688631,15915,0,0,5,22.7830000034,4.57899999997,0.0
2018/12/16/17:23:11.708499,15916,0,0,5,22.7830000034,4.57899999997,0.0
2018/12/16/17:23:11.729553,15917,0,0,5,22.7830000034,4.57899999997,0.0
2018/12/16/17:23:11.748830,15918,0,0,5,22.7830000034,4.57899999997,0.0
2018/12/16/17:23:11.769225,15919,0,0,5,22.7830000034,4.57899999997,0.0
2018/12/16/17:23:11.788462,15920,0,0,5,22.7830000034,4.57899999997,0.0
2018/12/16/17:23:11.808914,15921,0,0,5,22.7830000034,4.57899999997,0.0
2018/12/16/17:23:11.828867,15922,0,0,5,22.7830000034,4.57899999997,0.0
2018/12/16/17:23:11.849741,15923,0,0,5,22.7830001047,4.57899999783,0.0
2018/12/16/17:23:11.868786,15924,0,0,5,22.7830001047,4.57899999783,0.0
2018/12/16/17:23:11.889075,15925,0,0,5,22.7830001047,4.57899999783,0.0
2018/12/16/17:23:11.908752,15926,0,0,5,22.7830001047,4.57899999783,0.0
2018/12/16/17:23:11.929050,15927,0,0,5,22.7830001047,4.57899999783,0.0
2018/12/16/17:23:11.948957,15928,0,0,5,22.7830001047,4.57899999783,0.0
2018/12/16/17:23:11.968626,15929,0,0,5,22.783170396,4.57899645939,0.0
2018/12/16/17:23:11.988799,15930,0,0,5,22.783170396,4.57899645939,0.0
2018/12/16/17:23:12.009310,15931,0,0,5,22.783170396,4.57899645939,0.0
2018/12/16/17:23:12.029374,15932,0,0,5,22.783170396,4.57899645939,0.0
2018/12/16/17:23:12.048608,15933,0,0,5,22.783170396,4.57899645939,0.0
2018/12/16/17:23:12.069288,15934,0,0,5,22.783170396,4.57899645939,0.0
2018/12/16/17:23:12.088292,15935,0,0,5,22.783170396,4.57899645939,0.0
2018/12/16/17:23:12.108464,15936,0,0,5,22.783170396,4.57899645939,0.0
2018/12/16/17:23:12.128388,15937,0,0,5,24.0408176101,4.55279059482,0.0
2018/12/16/17:23:12.149212,15938,0,0,5,24.0408176101,4.55279059482,0.0
2018/12/16/17:23:12.168666,15939,0,0,5,24.0408176101,4.55279059482,0.0
2018/12/16/17:23:12.189333,15940,0,0,5,24.0408176101,4.55279059482,0.0
2018/12/16/17:23:12.208902,15941,0,0,5,24.0408176101,4.55279059482,0.0
2018/12/16/17:23:12.228517,15942,0,0,5,24.0408176101,4.55279059482,0.0
2018/12/16/17:23:12.249521,15943,0,0,5,27.125749767,4.48848599531,0.0
2018/12/16/17:23:12.269322,15944,0,0,5,27.125749767,4.48848599531,0.0
2018/12/16/17:23:12.289200,15945,0,0,5,27.125749767,4.48848599531,0.0
2018/12/16/17:23:12.309204,15946,0,0,5,27.125749767,4.48848599531,0.0
2018/12/16/17:23:12.328167,15947,0,0,5,27.125749767,4.48848599531,0.0
2018/12/16/17:23:12.349779,15948,0,0,5,27.125749767,4.48848599531,0.0
2018/12/16/17:23:12.369332,15949,0,0,5,27.125749767,4.48848599531,0.0
2018/12/16/17:23:12.388653,15950,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.408896,15951,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.428686,15952,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.449178,15953,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.468886,15954,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.488626,15955,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.508640,15956,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.529188,15957,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.549501,15958,0,0,5,27.1970206273,4.48699970618,0.0
2018/12/16/17:23:12.568560,15959,0,0,5,27.1970001855,4.486999997,0.0
2018/12/16/17:23:12.588667,15960,0,0,5,27.1970001855,4.486999997,0.0
2018/12/16/17:23:12.608780,15961,0,0,5,27.1970001855,4.486999997,0.0
2018/12/16/17:23:12.628511,15962,0,0,5,27.1970001855,4.486999997,0.0
2018/12/16/17:23:12.648730,15963,0,0,5,27.1970001855,4.486999997,0.0
2018/12/16/17:23:12.668078,15964,0,0,5,27.1970001855,4.486999997,0.0
2018/12/16/17:23:12.689191,15965,0,0,5,27.1970001855,4.486999997,0.0
2018/12/16/17:23:12.709595,15966,0,0,5,27.197001109,4.48699998202,0.0
2018/12/16/17:23:12.728480,15967,0,0,5,27.197001109,4.48699998202,0.0
2018/12/16/17:23:12.749267,15968,0,0,5,27.197001109,4.48699998202,0.0
2018/12/16/17:23:12.768459,15969,0,0,5,27.197001109,4.48699998202,0.0
2018/12/16/17:23:12.788385,15970,0,0,5,27.197001109,4.48699998202,0.0
2018/12/16/17:23:12.809145,15971,0,0,5,27.197001109,4.48699998202,0.0
2018/12/16/17:23:12.828952,15972,0,0,5,27.197001109,4.48699998202,0.0
2018/12/16/17:23:12.849202,15973,0,0,5,27.1970503129,4.48699918412,0.0
