time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.velE,.velN,.velU
2018/12/16/17:22:06.353642,1,2350,86300000,mti/data,-0.0112413764,0.519245147705,0.00823003612459
2018/12/16/17:22:06.353674,2,2350,96300000,mti/data,-0.0118306064978,0.527476906776,0.00876262970269
2018/12/16/17:22:06.353699,3,2350,106300000,mti/data,-0.0120797678828,0.536251366138,0.00937952660024
2018/12/16/17:22:06.353848,4,2350,116300000,mti/data,-0.0128985904157,0.544984221458,0.00995013024658
2018/12/16/17:22:06.354054,5,2350,126300000,mti/data,-0.0136420810595,0.553222894669,0.0100902020931
2018/12/16/17:22:06.354068,6,2350,136300000,mti/data,-0.0142410965636,0.56153690815,0.0101817762479
2018/12/16/17:22:06.354079,7,2350,146300000,mti/data,-0.0150738228112,0.569936037064,0.0106203444302
2018/12/16/17:22:06.354093,8,2350,156300000,mti/data,-0.0155546404421,0.578074097633,0.0110297445208
2018/12/16/17:22:06.354105,9,2350,166300000,mti/data,-0.015770483762,0.586432337761,0.0115326680243
2018/12/16/17:22:06.354121,10,2350,176300000,mti/data,-0.0157749503851,0.59534817934,0.0122355213389
2018/12/16/17:22:06.354135,11,2350,186300000,mti/data,-0.0163993611932,0.604538202286,0.0131092863157
2018/12/16/17:22:06.354151,12,2350,196300000,mti/data,-0.0174152422696,0.613707244396,0.0136211598292
2018/12/16/17:22:06.354179,13,2350,206300000,mti/data,-0.0178248472512,0.622765421867,0.0139503711835
2018/12/16/17:22:06.358281,14,2350,216300000,mti/data,-0.0182820502669,0.631810545921,0.0148536544293
2018/12/16/17:22:06.365924,15,2350,226300000,mti/data,-0.0189697314054,0.640985846519,0.0157587472349
2018/12/16/17:22:06.375482,16,2350,236300000,mti/data,-0.019490737468,0.649680018425,0.0162527710199
2018/12/16/17:22:06.385459,17,2350,246300000,mti/data,-0.0198940336704,0.658497691154,0.0162177868187
2018/12/16/17:22:06.397360,18,2350,256300000,mti/data,-0.0200510602444,0.665297865868,0.0114090982825
2018/12/16/17:22:06.405630,19,2350,266300000,mti/data,-0.0199573729187,0.671993374825,0.00681610405445
2018/12/16/17:22:06.416289,20,2350,276300000,mti/data,-0.0203445628285,0.681306421757,0.00698223244399
2018/12/16/17:22:06.425583,21,2350,286300000,mti/data,-0.0206959340721,0.690758168697,0.0074233612977
2018/12/16/17:22:06.435730,22,2350,296300000,mti/data,-0.0208687707782,0.700393021107,0.00839334540069
2018/12/16/17:22:06.445536,23,2350,306300000,mti/data,-0.0209605880082,0.710157692432,0.00951424147934
2018/12/16/17:22:06.455519,24,2350,316300000,mti/data,-0.0208978336304,0.719526946545,0.0101060345769
2018/12/16/17:22:06.466737,25,2350,326300000,mti/data,-0.0215306151658,0.728778362274,0.0106050670147
2018/12/16/17:22:06.475547,26,2350,336300000,mti/data,-0.0215387586504,0.73857074976,0.0111025162041
2018/12/16/17:22:06.485867,27,2350,346300000,mti/data,-0.0214493609965,0.748502790928,0.0115019287914
2018/12/16/17:22:06.495472,28,2350,356300000,mti/data,-0.0220341160893,0.757904291153,0.0117072500288
2018/12/16/17:22:06.505540,29,2350,366300000,mti/data,-0.0224561430514,0.766880571842,0.0121962688863
2018/12/16/17:22:06.515584,30,2350,376300000,mti/data,-0.0222036596388,0.776349365711,0.0131441913545
2018/12/16/17:22:06.525615,31,2350,386300000,mti/data,-0.0226474218071,0.786747097969,0.0141497477889
2018/12/16/17:22:06.535717,32,2350,396300000,mti/data,-0.0237309448421,0.796269059181,0.0149398799986
2018/12/16/17:22:06.545496,33,2350,406300000,mti/data,-0.0240850783885,0.805268228054,0.0152377998456
2018/12/16/17:22:06.555723,34,2350,416300000,mti/data,-0.0245218910277,0.814442396164,0.0163295548409
2018/12/16/17:22:06.565538,35,2350,426300000,mti/data,-0.0252371579409,0.823520123959,0.0179296676069
2018/12/16/17:22:06.577949,36,2350,436300000,mti/data,-0.0255625713617,0.83310854435,0.0184116046876
2018/12/16/17:22:06.585813,37,2350,446300000,mti/data,-0.0263926945627,0.84326416254,0.0184191986918
2018/12/16/17:22:06.595604,38,2350,456300000,mti/data,-0.0269279628992,0.853209376335,0.0185692626983
2018/12/16/17:22:06.605909,39,2350,466300000,mti/data,-0.0275904461741,0.86277782917,0.0191564112902
2018/12/16/17:22:06.615777,40,2350,476300000,mti/data,-0.0290806777775,0.871486842632,0.0196960680187
2018/12/16/17:22:06.625510,41,2350,486300000,mti/data,-0.029669072479,0.880618155003,0.0198990143836
2018/12/16/17:22:06.635557,42,2350,496300000,mti/data,-0.0297266989946,0.891266822815,0.0199721455574
2018/12/16/17:22:06.645509,43,2350,506300000,mti/data,-0.0297203175724,0.897578597069,0.0139380898327
2018/12/16/17:22:06.655618,44,2350,516300000,mti/data,-0.0295787844807,0.903246462345,0.0079976785928
2018/12/16/17:22:06.665674,45,2350,526300000,mti/data,-0.0313192978501,0.913688421249,0.00878529436886
2018/12/16/17:22:06.675697,46,2350,536300000,mti/data,-0.0312547236681,0.923602342606,0.0090303895995
2018/12/16/17:22:06.685579,47,2350,546300000,mti/data,-0.0311155207455,0.933133125305,0.00896668247879
2018/12/16/17:22:06.695507,48,2350,556300000,mti/data,-0.0320539474487,0.943641424179,0.00895359180868
2018/12/16/17:22:06.705497,49,2350,566300000,mti/data,-0.0327183492482,0.953778266907,0.00836956314743
2018/12/16/17:22:06.715696,50,2350,576300000,mti/data,-0.0340195372701,0.963621675968,0.00743243843317
2018/12/16/17:22:06.725624,51,2350,586300000,mti/data,-0.0346435643733,0.973598241806,0.00693016499281
2018/12/16/17:22:06.735861,52,2350,596300000,mti/data,-0.034814581275,0.982956767082,0.00650329934433
2018/12/16/17:22:06.745387,53,2350,606300000,mti/data,-0.0360964946449,0.992553710938,0.00601948378608
2018/12/16/17:22:06.755541,54,2350,616300000,mti/data,-0.0370324142277,1.00334751606,0.00529989972711
2018/12/16/17:22:06.765571,55,2350,626300000,mti/data,-0.0385902151465,1.0136487484,0.00517161376774
2018/12/16/17:22:06.775485,56,2350,636300000,mti/data,-0.0394473820925,1.02360010147,0.00579787325114
2018/12/16/17:22:06.785569,57,2350,646300000,mti/data,-0.0397194698453,1.03370249271,0.00557169970125
2018/12/16/17:22:06.795499,58,2350,656300000,mti/data,-0.0404475480318,1.04345142841,0.00586786866188
2018/12/16/17:22:06.805712,59,2350,666300000,mti/data,-0.0407038480043,1.05355989933,0.00645725708455
2018/12/16/17:22:06.815677,60,2350,676300000,mti/data,-0.0423667468131,1.06486856937,0.00688511459157
2018/12/16/17:22:06.825627,61,2350,686300000,mti/data,-0.0432671085,1.0746563673,0.00685822311789
2018/12/16/17:22:06.835567,62,2350,696300000,mti/data,-0.0424840599298,1.08428359032,0.00688738096505
2018/12/16/17:22:06.845742,63,2350,706300000,mti/data,-0.0438382029533,1.09650075436,0.00752888899297
2018/12/16/17:22:06.855518,64,2350,716300000,mti/data,-0.0443916022778,1.10737919807,0.00747550511733
2018/12/16/17:22:06.865539,65,2350,726300000,mti/data,-0.0439492836595,1.11698484421,0.00772401411086
2018/12/16/17:22:06.875589,66,2350,736300000,mti/data,-0.0448925718665,1.12755513191,0.0093348454684
2018/12/16/17:22:06.885516,67,2350,746300000,mti/data,-0.0457598417997,1.1387360096,0.0110990852118
2018/12/16/17:22:06.895678,68,2350,756300000,mti/data,-0.0457417182624,1.14630961418,0.00884679798037
2018/12/16/17:22:06.905722,69,2350,766300000,mti/data,-0.0454307869077,1.15360403061,0.00690507143736
2018/12/16/17:22:06.916014,70,2350,776300000,mti/data,-0.0453260987997,1.16369485855,0.00805958546698
2018/12/16/17:22:06.925812,71,2350,786300000,mti/data,-0.0467692017555,1.17518436909,0.00933975540102
2018/12/16/17:22:06.935691,72,2350,796300000,mti/data,-0.0472344383597,1.18692231178,0.00912763364613
2018/12/16/17:22:06.945663,73,2350,806300000,mti/data,-0.0471872799098,1.19748294353,0.00908834207803
2018/12/16/17:22:06.956649,74,2350,816300000,mti/data,-0.0482925772667,1.20775663853,0.0104633625597
2018/12/16/17:22:06.965856,75,2350,826300000,mti/data,-0.0490817800164,1.21899521351,0.0114500187337
2018/12/16/17:22:06.975697,76,2350,836300000,mti/data,-0.0490664765239,1.23069345951,0.011019830592
2018/12/16/17:22:06.985761,77,2350,846300000,mti/data,-0.0481658615172,1.24226021767,0.0113405203447
2018/12/16/17:22:06.995581,78,2350,856300000,mti/data,-0.0478286482394,1.25361382961,0.0122917247936
2018/12/16/17:22:07.005816,79,2350,866300000,mti/data,-0.0483967624605,1.26451671124,0.0125842932612
2018/12/16/17:22:07.016440,80,2350,876300000,mti/data,-0.0482395626605,1.27472269535,0.0120089380071
2018/12/16/17:22:07.025720,81,2350,886300000,mti/data,-0.0481985509396,1.28671777248,0.0120304189622
2018/12/16/17:22:07.035701,82,2350,896300000,mti/data,-0.0477199405432,1.29885971546,0.0126717239618
2018/12/16/17:22:07.045568,83,2350,906300000,mti/data,-0.047251034528,1.30978083611,0.0128916017711
2018/12/16/17:22:07.055551,84,2350,916300000,mti/data,-0.0491207912564,1.32050192356,0.0137468855828
2018/12/16/17:22:07.065546,85,2350,926300000,mti/data,-0.0493507161736,1.33127593994,0.0149387642741
2018/12/16/17:22:07.075788,86,2350,936300000,mti/data,-0.0485831126571,1.34280514717,0.0155342454091
2018/12/16/17:22:07.085648,87,2350,946300000,mti/data,-0.0494186282158,1.35447132587,0.0163283087313
2018/12/16/17:22:07.095723,88,2350,956300000,mti/data,-0.0516042560339,1.36482143402,0.0169296059757
2018/12/16/17:22:07.105519,89,2350,966300000,mti/data,-0.0514596514404,1.37597131729,0.0175698064268
2018/12/16/17:22:07.115940,90,2350,976300000,mti/data,-0.0518562830985,1.38705456257,0.0190801247954
2018/12/16/17:22:07.125509,91,2350,986300000,mti/data,-0.0521161928773,1.39741659164,0.0199673548341
2018/12/16/17:22:07.135598,92,2350,996300000,mti/data,-0.0528145693243,1.40863800049,0.0196756199002
2018/12/16/17:22:07.145462,93,2351,6300000,mti/data,-0.054324157536,1.4165841341,0.0159444417804
2018/12/16/17:22:07.155609,94,2351,16300000,mti/data,-0.0552843287587,1.42289197445,0.012493936345
2018/12/16/17:22:07.165743,95,2351,26300000,mti/data,-0.0558732226491,1.43372523785,0.013431597501
2018/12/16/17:22:07.175615,96,2351,36300000,mti/data,-0.054641969502,1.44504237175,0.0143235456198
2018/12/16/17:22:07.185652,97,2351,46300000,mti/data,-0.0546200461686,1.4558672905,0.0152670340613
2018/12/16/17:22:07.195750,98,2351,56300000,mti/data,-0.0575741901994,1.46700704098,0.01564790681
2018/12/16/17:22:07.205468,99,2351,66300000,mti/data,-0.0579189062119,1.47677063942,0.015634264797
2018/12/16/17:22:07.215663,100,2351,76300000,mti/data,-0.056466486305,1.48676896095,0.0161060914397
2018/12/16/17:22:07.225589,101,2351,86300000,mti/data,-0.0560682341456,1.49841725826,0.0169699694961
2018/12/16/17:22:07.235636,102,2351,96300000,mti/data,-0.0583598650992,1.50966334343,0.0171669628471
2018/12/16/17:22:07.245608,103,2351,106300000,mti/data,-0.059747569263,1.51958453655,0.0161651223898
2018/12/16/17:22:07.255700,104,2351,116300000,mti/data,-0.0570277869701,1.53083217144,0.0158456489444
2018/12/16/17:22:07.265868,105,2351,126300000,mti/data,-0.0569732300937,1.54319393635,0.0169435888529
2018/12/16/17:22:07.275876,106,2351,136300000,mti/data,-0.0587277635932,1.55443322659,0.0170485842973
2018/12/16/17:22:07.285640,107,2351,146300000,mti/data,-0.0592025071383,1.56510710716,0.0144528094679
2018/12/16/17:22:07.295782,108,2351,156300000,mti/data,-0.0581229031086,1.57668960094,0.0130491163582
2018/12/16/17:22:07.305734,109,2351,166300000,mti/data,-0.0591080784798,1.58796429634,0.0140802040696
2018/12/16/17:22:07.315614,110,2351,176300000,mti/data,-0.0583191365004,1.59984028339,0.0148783065379
2018/12/16/17:22:07.325588,111,2351,186300000,mti/data,-0.0584978796542,1.60995769501,0.0137152560055
2018/12/16/17:22:07.335768,112,2351,196300000,mti/data,-0.0605082921684,1.61902618408,0.0132426796481
2018/12/16/17:22:07.345521,113,2351,206300000,mti/data,-0.0601534359157,1.63097536564,0.0136370249093
2018/12/16/17:22:07.355697,114,2351,216300000,mti/data,-0.0602765083313,1.6437048912,0.0147167490795
2018/12/16/17:22:07.365783,115,2351,226300000,mti/data,-0.0620645582676,1.65419900417,0.0155102452263
2018/12/16/17:22:07.375570,116,2351,236300000,mti/data,-0.0625939741731,1.66335737705,0.0166695732623
2018/12/16/17:22:07.385773,117,2351,246300000,mti/data,-0.0614762529731,1.6752218008,0.0188822131604
2018/12/16/17:22:07.395735,118,2351,256300000,mti/data,-0.0616811290383,1.68473649025,0.0180122889578
2018/12/16/17:22:07.405603,119,2351,266300000,mti/data,-0.0622117817402,1.69212055206,0.015041846782
2018/12/16/17:22:07.415739,120,2351,276300000,mti/data,-0.0632192119956,1.70131492615,0.0147376544774
2018/12/16/17:22:07.425609,121,2351,286300000,mti/data,-0.0622277930379,1.7126969099,0.0156275816262
2018/12/16/17:22:07.435857,122,2351,296300000,mti/data,-0.0614249706268,1.72467088699,0.0173294730484
2018/12/16/17:22:07.445675,123,2351,306300000,mti/data,-0.0615350417793,1.73480176926,0.0179633721709
2018/12/16/17:22:07.455877,124,2351,316300000,mti/data,-0.0619188509881,1.74550056458,0.0190264303237
2018/12/16/17:22:07.465761,125,2351,326300000,mti/data,-0.0621898770332,1.75723719597,0.0196328330785
2018/12/16/17:22:07.475615,126,2351,336300000,mti/data,-0.0622228458524,1.76732325554,0.0191748589277
2018/12/16/17:22:07.485622,127,2351,346300000,mti/data,-0.0630115568638,1.77743124962,0.0197295751423
2018/12/16/17:22:07.495659,128,2351,356300000,mti/data,-0.0621613413095,1.78939318657,0.0199034810066
2018/12/16/17:22:07.505603,129,2351,366300000,mti/data,-0.0614360049367,1.80175375938,0.0203365050256
2018/12/16/17:22:07.515722,130,2351,376300000,mti/data,-0.062829323113,1.8105648756,0.0195077806711
2018/12/16/17:22:07.525584,131,2351,386300000,mti/data,-0.0636741071939,1.81882703304,0.0193341188133
2018/12/16/17:22:07.535778,132,2351,396300000,mti/data,-0.0621515698731,1.83112668991,0.0189279764891
2018/12/16/17:22:07.545676,133,2351,406300000,mti/data,-0.0625419318676,1.843963027,0.0174202732742
2018/12/16/17:22:07.555666,134,2351,416300000,mti/data,-0.066227838397,1.85259091854,0.015150334686
2018/12/16/17:22:07.565858,135,2351,426300000,mti/data,-0.0644107684493,1.86085772514,0.0136406542733
2018/12/16/17:22:07.575588,136,2351,436300000,mti/data,-0.0635332837701,1.87452447414,0.0140925236046
2018/12/16/17:22:07.585627,137,2351,446300000,mti/data,-0.0652056187391,1.88605928421,0.014172735624
2018/12/16/17:22:07.595519,138,2351,456300000,mti/data,-0.0655562579632,1.89321625233,0.0110264644027
