time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2018/12/16/17:22:06.841400,1028,1545002525,821489634,,0.0,-0.0,0.0,0.0,0.0,0.0
2018/12/16/17:22:07.841031,1029,1545002526,841179821,,0.0,-0.0,0.0,0.0,0.0,0.0
2018/12/16/17:22:08.852207,1030,1545002527,840843529,,0.893820678636,-0.0215323208856,0.0,0.0,0.0,0.0
2018/12/16/17:22:09.876614,1031,1545002528,852018867,,1.78811195726,-0.0131077800213,0.0,0.0,0.0,0.0
2018/12/16/17:22:10.880924,1032,1545002529,876160722,,2.23519996596,-0.000390115992424,0.0,0.0,0.0,0.0
2018/12/16/17:22:11.892736,1033,1545002530,880707307,,2.68223738542,0.00374511232941,0.0,0.0,0.0,0.0
2018/12/16/17:22:12.900998,1034,1545002531,892557182,,3.12909679037,0.0338614074722,0.0,0.0,0.0,0.0
2018/12/16/17:22:13.912293,1035,1545002532,900771747,,3.57575330421,0.063663567411,0.0,0.0,0.0,0.0
2018/12/16/17:22:14.921039,1036,1545002533,912059952,,3.57589818898,0.054926172478,0.0,0.0,0.0,0.0
2018/12/16/17:22:15.931305,1037,1545002534,920739756,,4.02299668063,0.0540684492609,0.0,0.0,0.0,0.0
2018/12/16/17:22:16.941241,1038,1545002535,931108876,,4.02316782972,0.0393230661533,0.0,0.0,0.0,0.0
2018/12/16/17:22:17.951173,1039,1545002536,941006442,,4.02329326705,0.0231727619495,0.0,0.0,0.0,0.0
2018/12/16/17:22:18.111991,1040,1545002537,950935481,,4.02332758331,0.0161507587921,0.0,0.0,0.0,0.0
2018/12/16/17:22:19.971823,1041,1545002538,961629257,,4.47034273804,0.0226266310658,0.0,0.0,0.0,0.0
2018/12/16/17:22:20.132637,1042,1545002539,971316099,,4.47024312597,0.037450697387,0.0,0.0,0.0,0.0
2018/12/16/17:22:21.111951,1043,1545002540,981332628,,4.91728151902,0.0394793145107,0.0,0.0,0.0,0.0
2018/12/16/17:22:22.141280,1044,1545002541,992399557,,4.91726017365,0.0420539915639,0.0,0.0,0.0,0.0
2018/12/16/17:22:23.131618,1045,1545002543,11442559,,5.36427573704,0.0468133251503,0.0,0.0,0.0,0.0
2018/12/16/17:22:24.111158,1046,1545002544,21017058,,5.81116868944,0.063899712258,0.0,0.0,0.0,0.0
2018/12/16/17:22:25.141297,1047,1545002545,30945135,,5.81123241872,0.0578142367122,0.0,0.0,0.0,0.0
2018/12/16/17:22:26.131344,1048,1545002546,40781750,,5.81138536995,0.0395574563664,0.0,0.0,0.0,0.0
2018/12/16/17:22:27.112415,1049,1545002547,51156859,,6.25844980657,0.0371388247002,0.0,0.0,0.0,0.0
2018/12/16/17:22:28.141015,1050,1545002548,61593342,,6.25849050943,0.0294926600215,0.0,0.0,0.0,0.0
2018/12/16/17:22:29.131250,1051,1545002549,71005289,,6.25836697127,0.0491541099461,0.0,0.0,0.0,0.0
2018/12/16/17:22:30.111228,1052,1545002550,81411812,,5.8111460302,0.0659281888642,0.0,0.0,0.0,0.0
