time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2018/12/16/17:23:03.762167,54757,1545002583,637495390,base_footprint,4.29722213745,0.0,0.0,0.0,0.0,0.0161825571024
2018/12/16/17:23:03.762494,54758,1545002583,657040342,base_footprint,4.28888893127,0.0,0.0,0.0,0.0,0.0165061746191
2018/12/16/17:23:03.762628,54759,1545002583,677062097,base_footprint,4.28888893127,0.0,0.0,0.0,0.0,0.0166836747332
2018/12/16/17:23:03.762666,54760,1545002583,697090674,base_footprint,4.28888893127,0.0,0.0,0.0,0.0,0.0166836747332
2018/12/16/17:23:03.762691,54761,1545002583,717109750,base_footprint,4.28888893127,0.0,0.0,0.0,0.0,0.0168611753115
2018/12/16/17:23:03.762748,54762,1545002583,737176818,base_footprint,4.28888893127,0.0,0.0,0.0,0.0,0.0168611753115
2018/12/16/17:23:03.763192,54763,1545002583,757199489,base_footprint,4.28611087799,0.0,0.0,0.0,0.0,0.0166728681728
2018/12/16/17:23:03.777680,54764,1545002583,777235705,base_footprint,4.28611087799,0.0,0.0,0.0,0.0,0.0166728681728
2018/12/16/17:23:03.801278,54765,1545002583,797722650,base_footprint,4.28611087799,0.0,0.0,0.0,0.0,0.0163180983486
2018/12/16/17:23:03.818328,54766,1545002583,817297024,base_footprint,4.28611087799,0.0,0.0,0.0,0.0,0.0154311816454
2018/12/16/17:23:03.838933,54767,1545002583,837318568,base_footprint,4.28611087799,0.0,0.0,0.0,0.0,0.0147216545245
2018/12/16/17:23:03.857670,54768,1545002583,857363335,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.0136485277573
2018/12/16/17:23:03.878943,54769,1545002583,877403625,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.01240769325
2018/12/16/17:23:03.897676,54770,1545002583,897431841,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.011166875654
2018/12/16/17:23:03.917693,54771,1545002583,917437654,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.00992607327796
2018/12/16/17:23:03.937741,54772,1545002583,937489150,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.0085080299948
2018/12/16/17:23:03.957984,54773,1545002583,957515339,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.00709000185716
2018/12/16/17:23:03.977789,54774,1545002583,977542337,base_footprint,4.2805557251,0.0,0.0,0.0,0.0,0.0058454445767
2018/12/16/17:23:04.002941,54775,1545002583,997594639,base_footprint,4.2805557251,0.0,0.0,0.0,0.0,0.00460549323385
2018/12/16/17:23:04.033172,54776,1545002584,17619292,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.00372223088177
2018/12/16/17:23:04.038880,54777,1545002584,37648765,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.00248148449926
2018/12/16/17:23:04.058040,54778,1545002584,57699941,base_footprint,4.28333330154,0.0,0.0,0.0,0.0,0.00177248813924
2018/12/16/17:23:04.077962,54779,1545002584,77713252,base_footprint,4.28611087799,0.0,0.0,0.0,0.0,0.00124154597709
2018/12/16/17:23:04.098014,54780,1545002584,97745954,base_footprint,4.28888893127,0.0,0.0,0.0,0.0,0.000887393249956
2018/12/16/17:23:04.118228,54781,1545002584,117781272,base_footprint,4.28888893127,0.0,0.0,0.0,0.0,0.000532435910483
2018/12/16/17:23:04.138195,54782,1545002584,137848483,base_footprint,4.29166650772,0.0,0.0,0.0,0.0,0.000532780727397
2018/12/16/17:23:04.158350,54783,1545002584,157886384,base_footprint,4.294444561,0.0,0.0,0.0,0.0,0.000710834161074
2018/12/16/17:23:04.178368,54784,1545002584,177885556,base_footprint,4.30000019073,0.0,0.0,0.0,0.0,0.00106763072669
2018/12/16/17:23:04.198322,54785,1545002584,198011535,base_footprint,4.30277776718,0.0,0.0,0.0,0.0,0.00160248097019
2018/12/16/17:23:04.218315,54786,1545002584,217983585,base_footprint,4.31111097336,0.0,0.0,0.0,0.0,0.00214077983325
2018/12/16/17:23:04.238279,54787,1545002584,238019468,base_footprint,4.31666660309,0.0,0.0,0.0,0.0,0.00267942436024
2018/12/16/17:23:04.258368,54788,1545002584,258030250,base_footprint,4.32499980927,0.0,0.0,0.0,0.0,0.0032215178532
