time,.data
2018/12/16/17:23:03.762509,0.0370633495089
2018/12/16/17:23:03.762634,0.0356378360663
2018/12/16/17:23:03.762669,0.0342671500637
2018/12/16/17:23:03.762694,0.0329491827536
2018/12/16/17:23:03.762751,0.0316819064938
2018/12/16/17:23:03.763198,0.0251209614677
2018/12/16/17:23:03.778167,0.024154770642
2018/12/16/17:23:03.801542,0.023225741002
2018/12/16/17:23:03.818502,0.0223324432711
2018/12/16/17:23:03.838940,0.0214735031453
2018/12/16/17:23:03.857787,0.0153061060118
2018/12/16/17:23:03.878949,0.0147174096267
2018/12/16/17:23:03.897731,0.0141513554103
2018/12/16/17:23:03.917752,0.0136070725099
2018/12/16/17:23:03.938128,0.0130837235672
2018/12/16/17:23:03.957993,0.01258050343
2018/12/16/17:23:03.978129,0.00675514474706
2018/12/16/17:23:04.002956,0.00649533148755
2018/12/16/17:23:04.033193,0.0115870042121
2018/12/16/17:23:04.038898,0.011141350204
2018/12/16/17:23:04.058053,0.0107128367346
2018/12/16/17:23:04.078038,0.0156422977189
2018/12/16/17:23:04.098087,0.0203830810445
2018/12/16/17:23:04.118284,0.0195991163889
2018/12/16/17:23:04.138264,0.0241867973866
2018/12/16/17:23:04.158351,0.0285989461096
2018/12/16/17:23:04.178380,0.0381828899712
2018/12/16/17:23:04.198706,0.0420558104464
2018/12/16/17:23:04.218410,0.0564636757691
2018/12/16/17:23:04.238357,0.0649758992592
2018/12/16/17:23:04.258416,0.0785022227045
2018/12/16/17:23:04.278546,0.091509219935
2018/12/16/17:23:04.298495,0.104015031047
2018/12/16/17:23:04.318614,0.116039849423
2018/12/16/17:23:04.338594,0.127602174785
2018/12/16/17:23:04.358630,0.133378302159
2018/12/16/17:23:04.378694,0.138932270788
2018/12/16/17:23:04.398866,0.149614118406
2018/12/16/17:23:04.418923,0.159886042724
2018/12/16/17:23:04.438823,0.169761976037
2018/12/16/17:23:04.458744,0.173916572593
2018/12/16/17:23:04.478835,0.183252870141
2018/12/16/17:23:04.498899,0.197572489483
2018/12/16/17:23:04.518940,0.205998944073
2018/12/16/17:23:04.538897,0.20875981109
2018/12/16/17:23:04.559266,0.21675598408
2018/12/16/17:23:04.580108,0.224444611956
2018/12/16/17:23:04.599363,0.231838440369
2018/12/16/17:23:04.619243,0.238946973771
2018/12/16/17:23:04.639683,0.251124512204
2018/12/16/17:23:04.659357,0.257491273613
2018/12/16/17:23:04.679155,0.274297062911
2018/12/16/17:23:04.699372,0.28511498253
2018/12/16/17:23:04.719662,0.295515911324
2018/12/16/17:23:04.739207,0.310859214556
2018/12/16/17:23:04.759638,0.325613307735
2018/12/16/17:23:04.779363,0.334456608636
2018/12/16/17:23:04.799368,0.342960699574
2018/12/16/17:23:04.819488,0.34579529993
2018/12/16/17:23:04.839680,0.359204780523
2018/12/16/17:23:04.859458,0.366757018696
2018/12/16/17:23:04.879492,0.363334882843
2018/12/16/17:23:04.899442,0.360044367599
2018/12/16/17:23:04.919700,0.372905807128
2018/12/16/17:23:04.939811,0.374588672579
2018/12/16/17:23:04.960132,0.376206812435
2018/12/16/17:23:04.979786,0.377763633137
2018/12/16/17:23:04.999995,0.373917248965
2018/12/16/17:23:05.019776,0.3755621298
2018/12/16/17:23:05.039891,0.377142828994
2018/12/16/17:23:05.059805,0.378662732065
2018/12/16/17:23:05.079822,0.38012509432
2018/12/16/17:23:05.100233,0.376187884718
2018/12/16/17:23:05.119953,0.367061530082
2018/12/16/17:23:05.139819,0.374311585579
2018/12/16/17:23:05.162978,0.370597972467
2018/12/16/17:23:05.179941,0.372370517783
2018/12/16/17:23:05.200001,0.374073971285
2018/12/16/17:23:05.220063,0.365028004018
2018/12/16/17:23:05.240581,0.36701477889
2018/12/16/17:23:05.260012,0.36892422235
2018/12/16/17:23:05.280470,0.360076322349
2018/12/16/17:23:05.300147,0.351569643189
2018/12/16/17:23:05.320467,0.343389227002
2018/12/16/17:23:05.340236,0.335524359201
2018/12/16/17:23:05.360322,0.327961069321
2018/12/16/17:23:05.380451,0.320688675206
2018/12/16/17:23:05.401020,0.313696905551
2018/12/16/17:23:05.420664,0.30697313312
2018/12/16/17:23:05.440776,0.300508884314
2018/12/16/17:23:05.460733,0.288950850302
2018/12/16/17:23:05.480771,0.283178849226
2018/12/16/17:23:05.501326,0.282971258353
2018/12/16/17:23:05.520798,0.272087748416
2018/12/16/17:23:05.540796,0.266964328182
2018/12/16/17:23:05.560754,0.262038879566
2018/12/16/17:23:05.580813,0.262644364449
2018/12/16/17:23:05.601154,0.25788415129
2018/12/16/17:23:05.620842,0.247965530087
2018/12/16/17:23:05.640952,0.243769887481
2018/12/16/17:23:05.660944,0.245078025905
2018/12/16/17:23:05.680949,0.240994358147
2018/12/16/17:23:05.701155,0.237066837538
2018/12/16/17:23:05.720972,0.227948882248
2018/12/16/17:23:05.741060,0.224524027707
2018/12/16/17:23:05.761299,0.221229981346
2018/12/16/17:23:05.781079,0.21272113591
2018/12/16/17:23:05.801774,0.209881046926
2018/12/16/17:23:05.821475,0.207151109128
2018/12/16/17:23:05.841221,0.199183758777
2018/12/16/17:23:05.861554,0.191522844978
2018/12/16/17:23:05.881624,0.18415658171
2018/12/16/17:23:05.901352,0.177073636259
2018/12/16/17:23:05.921460,0.170263111788
2018/12/16/17:23:05.941338,0.169056023732
2018/12/16/17:23:05.961392,0.162553868973
2018/12/16/17:23:05.981627,0.16164420725
2018/12/16/17:23:06.001448,0.160768615522
2018/12/16/17:23:06.021569,0.159927617394
2018/12/16/17:23:06.041573,0.164459541519
2018/12/16/17:23:06.061522,0.163476584699
2018/12/16/17:23:06.081638,0.162530516915
2018/12/16/17:23:06.101589,0.166963246515
2018/12/16/17:23:06.121959,0.165883076354
2018/12/16/17:23:06.141684,0.154161464866
2018/12/16/17:23:06.161670,0.158916081083
