time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2018/12/16/17:23:04.141155,1083,1545002583,430977058,gps_link,0,1,30.6276773333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:05.131788,1084,1545002584,440749778,gps_link,0,1,30.6277173333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:06.111335,1085,1545002585,460670967,gps_link,0,1,30.6277626667,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:07.141120,1086,1545002586,470726045,gps_link,0,1,30.627808,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:08.131281,1087,1545002587,480761229,gps_link,0,1,30.6278533333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:09.111843,1088,1545002588,491119877,gps_link,0,1,30.627904,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:10.141401,1089,1545002589,500630964,gps_link,0,1,30.6279573333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:11.131346,1090,1545002590,510727010,gps_link,0,1,30.6280053333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:12.111920,1091,1545002591,520731850,gps_link,0,1,30.6280533333,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:13.149083,1092,1545002592,530981123,gps_link,0,1,30.628096,-96.4820906667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:14.131691,1093,1545002593,542568739,gps_link,0,1,30.6281386667,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:15.111443,1094,1545002594,560534495,gps_link,0,1,30.6281813333,-96.4820693333,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:16.143003,1095,1545002595,571040270,gps_link,0,1,30.6282293333,-96.4820586667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:17.131615,1096,1545002596,580564062,gps_link,0,1,30.62828,-96.482048,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:18.111481,1097,1545002597,592281262,gps_link,0,1,30.6283306667,-96.482048,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:19.143256,1098,1545002598,600593467,gps_link,0,1,30.628384,-96.482048,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:20.131849,1099,1545002599,610800927,gps_link,0,1,30.6284373333,-96.4820586667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:21.111406,1100,1545002600,630868423,gps_link,0,1,30.6284906667,-96.4820693333,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:22.143249,1101,1545002601,630845087,gps_link,0,1,30.628544,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:23.131490,1102,1545002602,641207906,gps_link,0,1,30.6285973333,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:24.671353,1103,1545002603,650870672,gps_link,0,1,30.6286533333,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:25.681189,1104,1545002604,670795950,gps_link,0,1,30.6287093333,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:26.691409,1105,1545002605,680584494,gps_link,0,1,30.6287626667,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:27.701174,1106,1545002606,690857118,gps_link,0,1,30.628816,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:28.711493,1107,1545002607,700607760,gps_link,0,1,30.628872,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:29.721258,1108,1545002608,710881392,gps_link,0,1,30.6289226667,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:30.731437,1109,1545002609,720693939,gps_link,0,1,30.6289653333,-96.48208,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:31.741796,1110,1545002610,730841762,gps_link,0,1,30.628992,-96.4820586667,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
2018/12/16/17:23:32.751436,1111,1545002611,741108298,gps_link,0,1,30.6290106667,-96.4820373333,54.75,"(5.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.01)",0
